Date,Value
1967-01-01,42344
1968-01-01,44978
1969-01-01,41874
1970-01-01,45802
1971-01-01,48026
1972-01-01,32777
1973-01-01,40277
1974-01-01,56403
1975-01-01,43207
1976-01-01,42565
1977-01-01,53768
1978-01-01,51620
1979-01-01,46439
1980-01-01,41857
1981-01-01,57610
1982-01-01,55213
1983-01-01,43106
1984-01-01,59702
1985-01-01,48748
1986-01-01,49185
1987-01-01,42616
1988-01-01,56332
1989-01-01,53490
1990-01-01,63690
1991-01-01,63411
1992-01-01,62265
1993-01-01,68532
1994-01-01,66627
1995-01-01,60947
1996-01-01,76475
1997-01-01,67135
1998-01-01,63298
1999-01-01,57442
2000-01-01,61763
2001-01-01,66179
2002-01-01,64381
2003-01-01,79757
2004-01-01,71554
2005-01-01,69022
2006-01-01,68290
2007-01-01,75186
2008-01-01,69946
2009-01-01,89822
2010-01-01,99802
2011-01-01,92660
2012-01-01,75635
2013-01-01,79917
2014-01-01,94858
2015-01-01,87575
2016-01-01,75233
2017-01-01,93013
2018-01-01,80521
2019-01-01,91709
2020-01-01,78732
2021-01-01,85110
2022-01-01,79893
2023-01-01,78246
2024-01-01,74262
2025-01-01,80068
