Date,Value
1990-01-01,4366
1990-02-01,3193
1990-03-01,6903
1990-04-01,5872
1990-05-01,11548
1990-06-01,13440
1990-07-01,11689
1990-08-01,10380
1990-09-01,8709
1990-10-01,8453
1990-11-01,8353
1990-12-01,2367
1991-01-01,26
1991-02-01,3253
1991-03-01,7982
1991-04-01,15800
1991-05-01,16462
1991-06-01,10864
1991-07-01,4815
1991-08-01,6272
1991-09-01,10749
1991-10-01,9706
1991-11-01,3437
1991-12-01,4853
1992-01-01,1358
1992-02-01,3452
1992-03-01,5980
1992-04-01,8163
1992-05-01,10270
1992-06-01,11596
1992-07-01,17116
1992-08-01,11326
1992-09-01,13627
1992-10-01,11199
1992-11-01,2570
1992-12-01,812
1993-01-01,1709
1993-02-01,2183
1993-03-01,3139
1993-04-01,17592
1993-05-01,30401
1993-06-01,25865
1993-07-01,16422
1993-08-01,17249
1993-09-01,15631
1993-10-01,12044
1993-11-01,1415
1993-12-01,7600
1994-01-01,692
1994-02-01,1521
1994-03-01,7130
1994-04-01,20751
1994-05-01,26772
1994-06-01,15711
1994-07-01,17419
1994-08-01,13891
1994-09-01,9370
1994-10-01,6950
1994-11-01,2330
1994-12-01,1038
1995-01-01,1144
1995-02-01,1218
1995-03-01,4867
1995-04-01,9018
1995-05-01,18190
1995-06-01,15120
1995-07-01,9480
1995-08-01,6202
1995-09-01,10541
1995-10-01,14552
1995-11-01,2750
1995-12-01,1727
1996-01-01,871
1996-02-01,3814
1996-03-01,4043
1996-04-01,9051
1996-05-01,19783
1996-06-01,12404
1996-07-01,11191
1996-08-01,17682
1996-09-01,19846
1996-10-01,13803
1996-11-01,1849
1996-12-01,2730
1997-01-01,3164
1997-02-01,3776
1997-03-01,11894
1997-04-01,14013
1997-05-01,19122
1997-06-01,13736
1997-07-01,7711
1997-08-01,12725
1997-09-01,17542
1997-10-01,22393
1997-11-01,4205
1997-12-01,2208
1998-01-01,3624
1998-02-01,6385
1998-03-01,10533
1998-04-01,23984
1998-05-01,26034
1998-06-01,17597
1998-07-01,13600
1998-08-01,13503
1998-09-01,14872
1998-10-01,21114
1998-11-01,8384
1998-12-01,6002
1999-01-01,3495
1999-02-01,9676
1999-03-01,6839
1999-04-01,11613
1999-05-01,16732
1999-06-01,11903
1999-07-01,8530
1999-08-01,7857
1999-09-01,17334
1999-10-01,14699
1999-11-01,9766
1999-12-01,2869
2000-01-01,1336
2000-02-01,2208
2000-03-01,11270
2000-04-01,16132
2000-05-01,16228
2000-06-01,15702
2000-07-01,11455
2000-08-01,11287
2000-09-01,21995
2000-10-01,20958
2000-11-01,6273
2000-12-01,1442
2001-01-01,1650
2001-02-01,2684
2001-03-01,7081
2001-04-01,27688
2001-05-01,36584
2001-06-01,30396
2001-07-01,18642
2001-08-01,14520
2001-09-01,19178
2001-10-01,7437
2001-11-01,9075
2001-12-01,4525
2002-01-01,1661
2002-02-01,2500
2002-03-01,6500
2002-04-01,17874
2002-05-01,27431
2002-06-01,15899
2002-07-01,9558
2002-08-01,6642
2002-09-01,10785
2002-10-01,5989
2002-11-01,3564
2002-12-01,2138
2003-01-01,1043
2003-02-01,1121
2003-03-01,4193
2003-04-01,13265
2003-05-01,24477
2003-06-01,25403
2003-07-01,13673
2003-08-01,15489
2003-09-01,29130
2003-10-01,14573
2003-11-01,7187
2003-12-01,2981
2004-01-01,1885
2004-02-01,413
2004-03-01,6665
2004-04-01,19681
2004-05-01,20730
2004-06-01,21031
2004-07-01,15903
2004-08-01,12070
2004-09-01,12740
2004-10-01,10690
2004-11-01,4704
2004-12-01,2389
2005-01-01,701
2005-02-01,1807
