Date,Value
1967-01-01,158
1968-01-01,272
1969-01-01,2143
1970-01-01,2175
1971-01-01,2286
1972-01-01,278
1973-01-01,320
1974-01-01,112
1975-01-01,1079
1980-01-01,22
1997-01-01,0
1998-01-01,2369
1999-01-01,2378
2000-01-01,2455
2001-01-01,3440
2002-01-01,3012
2003-01-01,4008
2004-01-01,7073
2005-01-01,9696
2006-01-01,6997
2007-01-01,8796
2008-01-01,10467
2009-01-01,9464
2010-01-01,10315
2011-01-01,12006
2012-01-01,10593
2013-01-01,11361
2014-01-01,12602
2015-01-01,12930
2016-01-01,10637
2017-01-01,10266
2018-01-01,14566
2019-01-01,10382
2020-01-01,8433
2021-01-01,9939
2022-01-01,9633
2023-01-01,8797
2024-01-01,8806
2025-01-01,7669
