Date,Value
1967-01-01,44172
1968-01-01,41190
1969-01-01,50140
1970-01-01,47068
1971-01-01,49083
1972-01-01,48391
1973-01-01,33258
1974-01-01,37155
1975-01-01,38077
1976-01-01,46390
1977-01-01,40409
1978-01-01,51282
1979-01-01,52028
1980-01-01,78485
1981-01-01,87629
1982-01-01,84877
1983-01-01,95404
1984-01-01,81635
1985-01-01,114502
1986-01-01,85306
1987-01-01,92360
1988-01-01,90238
1989-01-01,121895
1990-01-01,95377
1991-01-01,98805
1992-01-01,102735
1993-01-01,109475
1994-01-01,99851
1995-01-01,110567
1996-01-01,116989
1997-01-01,103475
1998-01-01,99714
1999-01-01,118964
2000-01-01,138055
2001-01-01,81756
2002-01-01,108827
2003-01-01,102943
2004-01-01,95869
2005-01-01,97583
2006-01-01,99698
2007-01-01,128754
2008-01-01,101056
2009-01-01,106091
2010-01-01,121737
2011-01-01,99527
2012-01-01,105376
2013-01-01,125092
2014-01-01,96239
2015-01-01,99796
2016-01-01,107958
2017-01-01,106369
2018-01-01,112650
2019-01-01,110540
2020-01-01,107190
2021-01-01,105903
2022-01-01,129482
2023-01-01,99915
2024-01-01,109462
2025-01-01,113305
