Date,Value
1990-01-01,2488.0
1990-02-01,3622.0
1990-03-01,1519.0
1990-04-01,1056.0
1990-05-01,57.0
1990-06-01,186.0
1990-07-01,27.0
1990-08-01,162.0
1990-09-01,78.0
1990-10-01,827.0
1990-11-01,2528.0
1990-12-01,1526.0
1991-01-01,3068.0
1991-02-01,3378.0
1991-03-01,2172.0
1991-04-01,511.0
1991-05-01,76.0
1991-06-01,16.0
1991-07-01,100.0
1991-08-01,0.0
1991-09-01,7558.0
1991-10-01,163.0
1991-11-01,940.0
1991-12-01,2674.0
1992-01-01,4800.0
1992-02-01,5417.0
1992-03-01,3599.0
1992-04-01,1531.0
1992-05-01,15.0
1992-06-01,19.0
1992-07-01,211.0
1992-08-01,20.0
1992-09-01,106.0
1992-10-01,448.0
1992-11-01,189.0
1992-12-01,2814.0
1993-01-01,4469.0
1993-02-01,5170.0
1993-03-01,3818.0
1993-04-01,1217.0
1993-05-01,48.0
1993-06-01,352.0
1993-07-01,54.0
1993-08-01,71.0
1993-09-01,40.0
1993-10-01,158.0
1993-11-01,901.0
1993-12-01,4120.0
1994-01-01,8123.0
1994-02-01,4195.0
1994-03-01,1281.0
1994-04-01,0.0
1994-05-01,65.0
1994-06-01,79.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,119.0
1994-10-01,0.0
1994-11-01,1212.0
1994-12-01,2333.0
1995-01-01,3205.0
1995-02-01,4966.0
1995-03-01,1721.0
1995-04-01,1682.0
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,1412.0
1995-08-01,739.0
1995-09-01,169.0
1995-10-01,345.0
1995-11-01,1519.0
1995-12-01,3900.0
1996-01-01,4986.0
1996-02-01,4291.0
1996-03-01,3340.0
1996-04-01,1366.0
1996-05-01,64.0
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,69.0
1996-11-01,1611.0
1996-12-01,1744.0
1997-01-01,6114.0
1997-02-01,3038.0
1997-03-01,2195.0
1997-04-01,844.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,87.0
1997-11-01,832.0
1997-12-01,1855.0
1998-01-01,3685.0
1998-02-01,3084.0
1998-03-01,2135.0
1998-04-01,85.0
1998-05-01,46.0
1998-06-01,117.0
1998-07-01,232.0
1998-08-01,0.0
1998-09-01,287.0
1998-10-01,502.0
1998-11-01,1179.0
1998-12-01,2398.0
1999-01-01,3613.0
1999-02-01,2482.0
1999-03-01,2100.0
1999-04-01,341.0
1999-05-01,336.0
1999-06-01,2004.0
1999-07-01,2918.0
1999-08-01,771.0
1999-09-01,40.0
1999-10-01,27.0
1999-11-01,2052.0
1999-12-01,2057.0
2000-01-01,5625.0
2000-02-01,4133.0
2000-03-01,1176.0
2000-04-01,1251.0
2000-05-01,197.0
2000-06-01,28.0
2000-07-01,470.0
2000-08-01,119.0
2000-09-01,24.0
2000-10-01,216.0
2000-11-01,1326.0
2000-12-01,5159.0
2001-01-01,2746.0
2001-02-01,3056.0
2001-03-01,2596.0
2001-04-01,525.0
2001-05-01,19.0
2001-06-01,39.0
2001-07-01,205.0
