Date,Value
1967-01-01,165
1968-01-01,60
1969-01-01,165
1970-01-01,241
1973-01-01,2024
1974-01-01,58
1975-01-01,850
1976-01-01,1270
1977-01-01,2452
1978-01-01,2045
1979-01-01,7687
1980-01-01,3989
1981-01-01,1980
1982-01-01,2483
1983-01-01,4887
1984-01-01,9102
1985-01-01,13872
1986-01-01,15729
1987-01-01,15769
1988-01-01,14411
1989-01-01,17774
1990-01-01,13126
1991-01-01,17868
1992-01-01,21421
1993-01-01,24794
1994-01-01,17172
1995-01-01,16986
1996-01-01,17290
1997-01-01,15001
1998-01-01,10342
1999-01-01,15170
2000-01-01,15967
2001-01-01,8838
2002-01-01,19847
2003-01-01,15652
2004-01-01,16752
2005-01-01,10635
2006-01-01,11561
2007-01-01,13162
2008-01-01,24193
2009-01-01,9445
2010-01-01,15676
2011-01-01,17710
2012-01-01,10658
2013-01-01,24021
2014-01-01,21025
2015-01-01,6188
2016-01-01,12555
2017-01-01,22897
2018-01-01,23619
2019-01-01,13832
2020-01-01,12896
2021-01-01,28448
2022-01-01,19964
2023-01-01,9488
2024-01-01,16888
2025-01-01,20835
