Date,Value
1990-01-01,3632
1990-02-01,10174
1990-03-01,5905
1990-04-01,2064
1990-05-01,-587
1990-06-01,5106
1990-07-01,-11583
1990-08-01,-12116
1990-09-01,-15641
1990-10-01,-6679
1990-11-01,-4510
1990-12-01,21682
1991-01-01,15396
1991-02-01,3617
1991-03-01,5383
1991-04-01,1973
1991-05-01,-6552
1991-06-01,-7261
1991-07-01,-2559
1991-08-01,-6977
1991-09-01,-10203
1991-10-01,-10235
1991-11-01,8913
1991-12-01,-2317
1992-01-01,4420
1992-02-01,13082
1992-03-01,9031
1992-04-01,4821
1992-05-01,-2161
1992-06-01,-2319
1992-07-01,-4255
1992-08-01,-11527
1992-09-01,-10142
1992-10-01,-3672
1992-11-01,9027
1992-12-01,12181
1993-01-01,19567
1993-02-01,16242
1993-03-01,5193
1993-04-01,-3008
1993-05-01,-23351
1993-06-01,-11578
1993-07-01,-5301
1993-08-01,-8480
1993-09-01,-14148
1993-10-01,-1815
1993-11-01,10116
1993-12-01,9754
1994-01-01,15338
1994-02-01,14179
1994-03-01,835
1994-04-01,-523
1994-05-01,-10760
1994-06-01,-5194
1994-07-01,-10613
1994-08-01,-12337
1994-09-01,-9624
1994-10-01,-4370
1994-11-01,6723
1994-12-01,10129
1995-01-01,14666
1995-02-01,11757
1995-03-01,10522
1995-04-01,-1386
1995-05-01,-9576
1995-06-01,-12637
1995-07-01,-4798
1995-08-01,-166
1995-09-01,-16412
1995-10-01,-10864
1995-11-01,7352
1995-12-01,16419
1996-01-01,26627
1996-02-01,6590
1996-03-01,9984
1996-04-01,-5779
1996-05-01,-7892
1996-06-01,-12192
1996-07-01,-7537
1996-08-01,-8265
1996-09-01,-8532
1996-10-01,-6005
1996-11-01,12828
1996-12-01,12290
1997-01-01,13411
1997-02-01,8989
1997-03-01,4053
1997-04-01,-1497
1997-05-01,-9463
1997-06-01,-11777
1997-07-01,-3488
1997-08-01,-11129
1997-09-01,-13351
1997-10-01,-7782
1997-11-01,8384
1997-12-01,12277
1998-01-01,14910
1998-02-01,8141
1998-03-01,14242
1998-04-01,-6791
1998-05-01,-18906
1998-06-01,-6032
1998-07-01,-12830
1998-08-01,-11957
1998-09-01,-9036
1998-10-01,-8545
1998-11-01,3580
1998-12-01,14533
1999-01-01,22198
1999-02-01,9144
1999-03-01,13750
1999-04-01,5000
1999-05-01,-12184
1999-06-01,-17117
1999-07-01,-3081
1999-08-01,-9853
1999-09-01,-14542
1999-10-01,-1078
1999-11-01,873
1999-12-01,22458
2000-01-01,25275
2000-02-01,9582
2000-03-01,11536
2000-04-01,2341
2000-05-01,-6168
2000-06-01,-9640
2000-07-01,-9926
2000-08-01,-1042
2000-09-01,-16047
2000-10-01,-18438
2000-11-01,20998
2000-12-01,25577
2001-01-01,-3396
2001-02-01,15963
2001-03-01,5157
2001-04-01,-11148
2001-05-01,-14194
2001-06-01,-13667
2001-07-01,-6314
2001-08-01,-7456
2001-09-01,-17194
2001-10-01,-1160
2001-11-01,-4343
2001-12-01,12165
2002-01-01,18633
2002-02-01,16522
2002-03-01,12094
2002-04-01,-6641
2002-05-01,-17560
2002-06-01,-11533
2002-07-01,-3170
2002-08-01,-9239
2002-09-01,-11013
2002-10-01,2040
2002-11-01,10367
2002-12-01,14652
2003-01-01,25665
2003-02-01,20396
2003-03-01,-4997
2003-04-01,-521
2003-05-01,-11018
2003-06-01,-18311
2003-07-01,-9728
2003-08-01,-9840
2003-09-01,-15287
2003-10-01,-7672
2003-11-01,7406
2003-12-01,14208
2004-01-01,23982
2004-02-01,17998
2004-03-01,1473
2004-04-01,-3901
2004-05-01,-11107
2004-06-01,-10639
2004-07-01,-9852
2004-08-01,-16096
2004-09-01,-12964
2004-10-01,-4958
2004-11-01,4801
2004-12-01,15747
2005-01-01,21163
2005-02-01,8825
2005-03-01,6956
2005-04-01,-1813
2005-05-01,-12828
2005-06-01,-11630
