Date,Value
1990-01-01,2439
1990-02-01,-2074
1990-03-01,8109
1990-04-01,-669
1990-05-01,-7057
1990-06-01,-14173
1990-07-01,-13823
1990-08-01,-13760
1990-09-01,-14705
1990-10-01,-15181
1990-11-01,-9069
1990-12-01,7072
1991-01-01,48879
1991-02-01,30368
1991-03-01,10947
1991-04-01,-7292
1991-05-01,-19263
1991-06-01,-22117
1991-07-01,-11877
1991-08-01,-6029
1991-09-01,-18632
1991-10-01,-23315
1991-11-01,12743
1991-12-01,30577
1992-01-01,42343
1992-02-01,24031
1992-03-01,10774
1992-04-01,-719
1992-05-01,-19021
1992-06-01,-18063
1992-07-01,-13811
1992-08-01,-13386
1992-09-01,-16545
1992-10-01,-18911
1992-11-01,5495
1992-12-01,31771
1993-01-01,42366
1993-02-01,38260
1993-03-01,19889
1993-04-01,-2835
1993-05-01,-32284
1993-06-01,-30354
1993-07-01,-24018
1993-08-01,-23797
1993-09-01,-30732
1993-10-01,-13548
1993-11-01,11601
1993-12-01,37815
1994-01-01,43332
1994-02-01,17225
1994-03-01,13173
1994-04-01,-20332
1994-05-01,-32189
1994-06-01,-20626
1994-07-01,-28666
1994-08-01,-20856
1994-09-01,-22378
1994-10-01,-8896
1994-11-01,4098
1994-12-01,36322
1995-01-01,50996
1995-02-01,38571
1995-03-01,8326
1995-04-01,-9723
1995-05-01,-18801
1995-06-01,-27559
1995-07-01,-20851
1995-08-01,-1207
1995-09-01,-23381
1995-10-01,-14079
1995-11-01,24216
1995-12-01,46245
1996-01-01,43064
1996-02-01,23235
1996-03-01,25245
1996-04-01,-2727
1996-05-01,-11703
1996-06-01,-16986
1996-07-01,-29380
1996-08-01,-32218
1996-09-01,-33463
1996-10-01,-15704
1996-11-01,29327
1996-12-01,32273
1997-01-01,48043
1997-02-01,20943
1997-03-01,-18885
1997-04-01,-3990
1997-05-01,-19573
1997-06-01,-19809
1997-07-01,-11847
1997-08-01,-15446
1997-09-01,-29291
1997-10-01,-24035
1997-11-01,20997
1997-12-01,43644
1998-01-01,21556
1998-02-01,264
1998-03-01,7319
1998-04-01,-23161
1998-05-01,-22813
1998-06-01,-14745
1998-07-01,-25554
1998-08-01,-20195
1998-09-01,-9007
1998-10-01,-36341
1998-11-01,1355
1998-12-01,38463
1999-01-01,46564
1999-02-01,15818
1999-03-01,10038
1999-04-01,-15120
1999-05-01,-22462
1999-06-01,-20249
1999-07-01,-3692
1999-08-01,-3887
1999-09-01,-32398
1999-10-01,-11735
1999-11-01,6656
1999-12-01,39997
2000-01-01,55072
2000-02-01,39709
2000-03-01,20254
2000-04-01,10011
2000-05-01,-4848
2000-06-01,-22813
2000-07-01,-23235
2000-08-01,-12990
2000-09-01,-20965
2000-10-01,-23895
2000-11-01,12336
2000-12-01,67565
2001-01-01,30123
2001-02-01,2218
2001-03-01,7263
2001-04-01,-21920
2001-05-01,-40248
2001-06-01,-42731
2001-07-01,-28898
2001-08-01,-13447
2001-09-01,-34949
2001-10-01,-11123
2001-11-01,-20241
2001-12-01,23713
2002-01-01,42209
2002-02-01,41132
2002-03-01,19020
2002-04-01,-10837
2002-05-01,-33401
2002-06-01,-19336
2002-07-01,-6965
2002-08-01,-13263
2002-09-01,-15789
2002-10-01,-6298
2002-11-01,30028
2002-12-01,33458
2003-01-01,66838
2003-02-01,55201
2003-03-01,7692
2003-04-01,-11766
2003-05-01,-28994
2003-06-01,-33846
2003-07-01,-22675
2003-08-01,-20684
2003-09-01,-41817
2003-10-01,-30343
2003-11-01,4564
2003-12-01,34778
2004-01-01,51545
2004-02-01,57385
2004-03-01,-5125
2004-04-01,-12252
2004-05-01,-20403
2004-06-01,-25583
2004-07-01,-32851
2004-08-01,-28275
2004-09-01,-17769
2004-10-01,-29948
2004-11-01,-1037
2004-12-01,56792
2005-01-01,49223
2005-02-01,32145
2005-03-01,18812
2005-04-01,-19384
2005-05-01,-25754
2005-06-01,-16898
2005-07-01,-2184
2005-08-01,-4624
2005-09-01,2566
2005-10-01,-8876
2005-11-01,-18817
2005-12-01,31674
2006-01-01,4612
2006-02-01,25173
2006-03-01,-1386
2006-04-01,-22800
2006-05-01,-22212
2006-06-01,-24217
2006-07-01,-9716
2006-08-01,-3932
2006-09-01,-29560
2006-10-01,-13278
2006-11-01,8106
2006-12-01,15316
2007-01-01,41537
2007-02-01,59809
2007-03-01,-9318
2007-04-01,-3622
2007-05-01,-29300
2007-06-01,-22304
2007-07-01,-21140
2007-08-01,7796
2007-09-01,-18266
2007-10-01,-24418
2007-11-01,6085
2007-12-01,26066
2008-01-01,63091
2008-02-01,31445
2008-03-01,9280
2008-04-01,-7493
2008-05-01,-18537
2008-06-01,-16344
2008-07-01,-16245
2008-08-01,-17426
2008-09-01,11064
2008-10-01,-32901
2008-11-01,-9023
2008-12-01,9013
2009-01-01,45921
2009-02-01,21105
2009-03-01,-14679
2009-04-01,-22525
2009-05-01,-43605
2009-06-01,-12959
2009-07-01,-20997
2009-08-01,-13755
2009-09-01,-24392
2009-10-01,-8812
2009-11-01,-4366
2009-12-01,52537
2010-01-01,65961
2010-02-01,54368
2010-03-01,-6597
2010-04-01,-24989
2010-05-01,-20848
2010-06-01,-21989
2010-07-01,-14642
2010-08-01,-8415
2010-09-01,-33742
2010-10-01,-48025
2010-11-01,-13802
2010-12-01,33759
2011-01-01,53081
2011-02-01,51330
2011-03-01,-14984
2011-04-01,-15554
2011-05-01,-27712
2011-06-01,-4612
2011-07-01,11081
2011-08-01,3402
2011-09-01,-25780
2011-10-01,-55944
2011-11-01,-16673
2011-12-01,5241
2012-01-01,28355
2012-02-01,32834
2012-03-01,-26586
2012-04-01,1890
2012-05-01,-7979
2012-06-01,-11491
2012-07-01,3667
2012-08-01,-248
2012-09-01,-21203
2012-10-01,-12207
2012-11-01,11294
2012-12-01,14495
2013-01-01,42515
2013-02-01,50019
2013-03-01,44253
2013-04-01,-13738
2013-05-01,-24998
2013-06-01,-30652
2013-07-01,-32014
2013-08-01,-19228
2013-09-01,-27100
2013-10-01,-26671
2013-11-01,15308
2013-12-01,36550
2014-01-01,117479
2014-02-01,64290
2014-03-01,47174
2014-04-01,-16457
2014-05-01,-29849
2014-06-01,-30151
2014-07-01,-35789
2014-08-01,-26081
2014-09-01,-37896
2014-10-01,-49804
2014-11-01,7202
2014-12-01,11447
2015-01-01,57369
2015-02-01,73436
2015-03-01,-1990
2015-04-01,-45037
2015-05-01,-36612
2015-06-01,-16431
2015-07-01,-17892
2015-08-01,-20717
2015-09-01,-33722
2015-10-01,-40257
2015-11-01,-15244
2015-12-01,8860
2016-01-01,56058
2016-02-01,21175
2016-03-01,-14011
2016-04-01,-20296
2016-05-01,-11540
2016-06-01,-2585
2016-07-01,16049
2016-08-01,18506
2016-09-01,-11031
2016-10-01,-51370
2016-11-01,-3970
2016-12-01,42587
2017-01-01,22579
2017-02-01,11892
2017-03-01,22982
2017-04-01,-22014
2017-05-01,-19393
2017-06-01,-5251
2017-07-01,1075
2017-08-01,3696
2017-09-01,-23167
2017-10-01,-13491
2017-11-01,-10494
2017-12-01,57784
2018-01-01,95750
2018-02-01,16429
2018-03-01,7193
2018-04-01,7969
2018-05-01,-42625
2018-06-01,-17984
2018-07-01,7158
2018-08-01,-4409
2018-09-01,-20246
2018-10-01,-24437
2018-11-01,22799
2018-12-01,10719
2019-01-01,60935
2019-02-01,50759
2019-03-01,17530
2019-04-01,-56512
2019-05-01,-42654
2019-06-01,-39117
2019-07-01,-18409
2019-08-01,-10645
2019-09-01,-37776
2019-10-01,-44922
2019-11-01,3691
2019-12-01,19539
2020-01-01,49883
2020-02-01,52915
2020-03-01,-26675
2020-04-01,-50797
2020-05-01,-33607
2020-06-01,-23311
2020-07-01,5790
2020-08-01,-15845
2020-09-01,-21814
2020-10-01,5951
2020-11-01,-9396
2020-12-01,43071
2021-01-01,61714
2021-02-01,90715
2021-03-01,-25836
2021-04-01,-16290
2021-05-01,-33878
2021-06-01,-3457
2021-07-01,15400
2021-08-01,10733
2021-09-01,-27866
2021-10-01,-42567
2021-11-01,12490
2021-12-01,7715
2022-01-01,103968
2022-02-01,69040
2022-03-01,-9625
2022-04-01,-54036
2022-05-01,-38230
2022-06-01,-18485
2022-07-01,12496
2022-08-01,5161
2022-09-01,-21002
2022-10-01,-50665
2022-11-01,-13211
2022-12-01,43710
2023-01-01,11630
2023-02-01,17546
2023-03-01,2255
2023-04-01,-8275
2023-05-01,-30838
2023-06-01,-14060
2023-07-01,10465
2023-08-01,21907
