Date,Value
1973-01-01,-531
1974-01-01,-523
1975-01-01,4
1976-01-01,560
1977-01-01,-323
1978-01-01,19
1979-01-01,-69
1980-01-01,-591
1981-01-01,-648
1982-01-01,-369
1983-01-01,-87
1984-01-01,-696
1985-01-01,410
1986-01-01,-500
1987-01-01,-107
1988-01-01,4068
1989-01-01,330
1990-01-01,-179
1991-01-01,-267
1992-01-01,-43
1993-01-01,72
1994-01-01,-365
1995-01-01,104
1996-01-01,-30
1997-01-01,-373
1998-01-01,372
1999-01-01,-253
2000-01-01,306
2001-01-01,-713
2002-01-01,-98
2003-01-01,-86
2004-01-01,297
2005-01-01,-216
2006-01-01,-62
2007-01-01,14
2008-01-01,99
2009-01-01,118
2010-01-01,-135
2011-01-01,-144
2012-01-01,105
2013-01-01,328
2014-01-01,-364
2015-01-01,-78
2016-01-01,38
2017-01-01,248
2018-01-01,-274
2019-01-01,75
2020-01-01,51
2021-01-01,-55
2022-01-01,89
2023-01-01,-4
2024-01-01,225
2025-01-01,277
