Date,Value
1967-01-01,-13819
1968-01-01,-9389
1969-01-01,-9555
1970-01-01,-10476
1971-01-01,-6804
1972-01-01,-1520
1973-01-01,-4565
1974-01-01,-5444
1975-01-01,8635
1976-01-01,7341
1977-01-01,1690
1978-01-01,3586
1979-01-01,-7757
1980-01-01,-14116
1981-01-01,-17139
1982-01-01,-6459
1983-01-01,-20041
1984-01-01,-16237
1985-01-01,-9425
1986-01-01,-10864
1987-01-01,-14297
1988-01-01,6570
1989-01-01,22058
1990-01-01,7138
1991-01-01,9737
1992-01-01,12602
1993-01-01,21308
1994-01-01,7819
1995-01-01,3599
1996-01-01,11725
1997-01-01,11962
1998-01-01,-400
1999-01-01,7884
2000-01-01,13911
2001-01-01,-9198
2002-01-01,-5933
2003-01-01,8564
2004-01-01,-2647
2005-01-01,-19
2006-01-01,-17896
2007-01-01,1292
2008-01-01,17270
2009-01-01,-32563
2010-01-01,-3718
2011-01-01,17556
2012-01-01,-4323
2013-01-01,12926
2014-01-01,16007
2015-01-01,-3197
2016-01-01,-7364
2017-01-01,2360
2018-01-01,7240
2019-01-01,402
2020-01-01,-7211
2021-01-01,2204
2022-01-01,-1731
2023-01-01,-5223
2024-01-01,-9238
2025-01-01,5121
