Date,Value
1988-01-01,108171
1989-01-01,108207
1990-01-01,108601
1991-01-01,114621
1992-01-01,114627
1993-01-01,114627
1994-01-01,124138
1995-01-01,124114
1996-01-01,134012
1997-01-01,134012
1998-01-01,134012
1999-01-01,134012
2000-01-01,134012
2001-01-01,134000
2002-01-01,144787
2003-01-01,143887
2004-01-01,146287
2005-01-01,150947
2006-01-01,150809
2007-01-01,166909
2008-01-01,187251
2009-01-01,210128
2010-01-01,235638
2011-01-01,240241
2012-01-01,289416
2013-01-01,303522
2014-01-01,331469
2015-01-01,331812
2016-01-01,334654
2017-01-01,334792
2018-01-01,334092
2019-01-01,331607
2020-01-01,331129
2021-01-01,330928
2022-01-01,330504
2023-01-01,330099
2024-01-01,329698
