Date,Value
1991-01-01,206213
1991-02-01,192757
1991-03-01,212592
1991-04-01,193357
1991-05-01,189547
1991-06-01,190891
1991-07-01,198657
1991-08-01,194613
1991-09-01,186968
1991-10-01,206342
1991-11-01,199164
1991-12-01,207795
1992-01-01,220207
1992-02-01,216672
1992-03-01,225612
1992-04-01,219351
1992-05-01,214908
1992-06-01,204193
1992-07-01,207403
1992-08-01,205162
1992-09-01,213266
1992-10-01,229947
1992-11-01,225054
1992-12-01,243938
1993-01-01,241168
1993-02-01,215639
1993-03-01,241867
1993-04-01,223263
1993-05-01,225685
1993-06-01,203582
1993-07-01,204453
1993-08-01,219932
1993-09-01,213811
1993-10-01,249679
1993-11-01,262373
1993-12-01,276888
1994-01-01,268574
1994-02-01,239920
1994-03-01,269535
1994-04-01,248381
1994-05-01,250838
1994-06-01,225763
1994-07-01,226822
1994-08-01,243652
1994-09-01,237312
1994-10-01,277488
1994-11-01,290954
1994-12-01,306660
1995-01-01,293221
1995-02-01,262194
1995-03-01,295252
1995-04-01,271958
1995-05-01,274472
1995-06-01,246902
1995-07-01,246629
1995-08-01,266320
1995-09-01,258532
1995-10-01,303310
1995-11-01,317059
1995-12-01,334056
1996-01-01,301376
1996-02-01,285293
1996-03-01,302965
1996-04-01,276137
1996-05-01,253591
1996-06-01,262958
1996-07-01,256519
1996-08-01,267370
1996-09-01,272968
1996-10-01,296292
1996-11-01,292599
1996-12-01,305514
1997-01-01,301992
1997-02-01,285923
1997-03-01,303621
1997-04-01,276753
1997-05-01,254173
1997-06-01,263530
1997-07-01,257063
1997-08-01,267980
1997-09-01,273595
1997-10-01,296925
1997-11-01,293241
1997-12-01,306153
1998-01-01,301837
1998-02-01,285739
1998-03-01,303437
1998-04-01,276571
1998-05-01,253993
1998-06-01,263368
1998-07-01,256916
1998-08-01,267793
1998-09-01,273401
1998-10-01,296751
1998-11-01,293056
1998-12-01,305985
1999-01-01,300298
1999-02-01,284328
1999-03-01,301925
1999-04-01,275211
1999-05-01,252760
1999-06-01,262059
1999-07-01,255626
1999-08-01,266489
1999-09-01,272074
1999-10-01,295266
1999-11-01,291605
1999-12-01,304440
2000-01-01,315154
2000-02-01,298493
2000-03-01,316937
2000-04-01,288934
2000-05-01,265398
2000-06-01,275096
2000-07-01,268314
2000-08-01,279806
2000-09-01,285676
2000-10-01,309932
2000-11-01,306123
2000-12-01,319531
2001-01-01,306284
2001-02-01,289865
2001-03-01,307842
2001-04-01,280553
2001-05-01,257620
2001-06-01,267186
2001-07-01,260665
2001-08-01,271625
2001-09-01,277306
2001-10-01,301072
2001-11-01,297295
2001-12-01,310466
2002-01-01,310698
2002-02-01,294068
2002-03-01,312299
2002-04-01,284625
2002-05-01,261368
2002-06-01,271056
2002-07-01,264432
2002-08-01,275574
2002-09-01,281340
2002-10-01,305426
2002-11-01,301604
2002-12-01,314949
2003-01-01,319684
2003-02-01,302602
2003-03-01,321353
2003-04-01,292889
2003-05-01,268967
2003-06-01,278917
2003-07-01,272093
2003-08-01,283583
2003-09-01,289519
2003-10-01,314278
2003-11-01,310354
2003-12-01,324067
2004-01-01,325581
2004-02-01,308161
2004-03-01,327264
2004-04-01,298266
2004-05-01,273897
2004-06-01,284045
2004-07-01,277103
2004-08-01,288784
2004-09-01,294827
2004-10-01,320061
