Date,Value
1967-01-01,861320
1968-01-01,816925
1969-01-01,767342
1970-01-01,727245
1971-01-01,679244
1972-01-01,555392
1973-01-01,513586
1974-01-01,426974
1975-01-01,367653
1976-01-01,427640
1977-01-01,387497
1978-01-01,383501
1979-01-01,337497
1980-01-01,407151
1981-01-01,481833
1982-01-01,483914
1983-01-01,509414
1984-01-01,574638
1985-01-01,596368
1986-01-01,558324
1987-01-01,527486
1988-01-01,501044
1989-01-01,466493
1990-01-01,446000
1991-01-01,459836
1992-01-01,448855
1993-01-01,405367
1994-01-01,395752
1995-01-01,383238
1996-01-01,400011
1997-01-01,397652
1998-01-01,397569
1999-01-01,432214
2000-01-01,418865
2001-01-01,414838
2002-01-01,397021
2003-01-01,368440
2004-01-01,348827
2005-01-01,352044
2006-01-01,349137
2007-01-01,339389
2008-01-01,333019
2009-01-01,306263
2010-01-01,319891
2011-01-01,279130
2012-01-01,246822
2013-01-01,252310
2014-01-01,238988
2015-01-01,236648
2016-01-01,205025
2017-01-01,212458
2018-01-01,202617
2019-01-01,196823
2020-01-01,157534
2021-01-01,137540
2022-01-01,135984
2023-01-01,133181
2024-01-01,125751
2025-01-01,113218
