Date,Value
1991-01-01,507274.0
1991-02-01,440015.0
1991-03-01,467865.0
1991-04-01,447968.0
1991-05-01,452152.0
1991-06-01,437363.0
1991-07-01,439393.0
1991-08-01,439511.0
1991-09-01,439423.0
1991-10-01,474953.0
1991-11-01,484879.0
1991-12-01,507896.0
1992-01-01,491543.0
1992-02-01,427089.0
1992-03-01,443209.0
1992-04-01,434113.0
1992-05-01,450643.0
1992-06-01,436134.0
1992-07-01,447329.0
1992-08-01,451983.0
1992-09-01,443824.0
1992-10-01,465979.0
1992-11-01,449146.0
1992-12-01,465264.0
1993-01-01,475042.0
1993-02-01,428899.0
1993-03-01,473923.0
1993-04-01,458040.0
1993-05-01,464977.0
1993-06-01,447225.0
1993-07-01,461549.0
1993-08-01,456313.0
1993-09-01,444623.0
1993-10-01,459363.0
1993-11-01,443246.0
1993-12-01,461358.0
1994-01-01,470420.0
1994-02-01,429765.0
1994-03-01,483967.0
1994-04-01,468649.0
1994-05-01,483666.0
1994-06-01,468429.0
1994-07-01,488117.0
1994-08-01,486463.0
1994-09-01,456648.0
1994-10-01,461005.0
1994-11-01,467224.0
1994-12-01,479223.0
1995-01-01,474741.0
1995-02-01,428704.0
1995-03-01,480053.0
1995-04-01,467278.0
1995-05-01,482707.0
1995-06-01,471211.0
1995-07-01,486752.0
1995-08-01,483911.0
1995-09-01,466070.0
1995-10-01,469549.0
1995-11-01,468898.0
1995-12-01,480279.0
1996-01-01,492470.0
1996-02-01,466794.0
1996-03-01,498349.0
1996-04-01,483084.0
1996-05-01,501155.0
1996-06-01,478713.0
1996-07-01,499931.0
1996-08-01,497386.0
1996-09-01,478348.0
1996-10-01,492253.0
1996-11-01,475856.0
1996-12-01,479297.0
1997-01-01,408319.0
1997-02-01,371943.0
1997-03-01,409928.0
1997-04-01,391558.0
1997-05-01,399727.0
1997-06-01,380958.0
1997-07-01,393309.0
1997-08-01,391933.0
1997-09-01,379241.0
1997-10-01,389352.0
1997-11-01,378990.0
1997-12-01,378000.0
1998-01-01,409423.0
1998-02-01,373759.0
1998-03-01,411498.0
1998-04-01,400301.0
1998-05-01,410619.0
1998-06-01,395953.0
1998-07-01,409988.0
1998-08-01,415992.0
1998-09-01,397187.0
1998-10-01,409709.0
1998-11-01,397602.0
1998-12-01,399091.0
1999-01-01,403050.0
1999-02-01,364502.0
1999-03-01,398163.0
1999-04-01,383322.0
1999-05-01,395067.0
1999-06-01,381356.0
1999-07-01,393998.0
