Date,Value
1997-01-01,660077
1998-01-01,733270
1999-01-01,830259
2000-01-01,882336
2001-01-01,922935
2002-01-01,828458
2003-01-01,883465
2004-01-01,787047
2005-01-01,677426
2006-01-01,643556
2007-01-01,610955
2008-01-01,481665
2009-01-01,566380
2010-01-01,559235
2011-01-01,476984
2012-01-01,513961
2013-01-01,509357
2014-01-01,569023
2015-01-01,639856
2016-01-01,647628
2017-01-01,623547
2018-01-01,620276
2019-01-01,697149
2020-01-01,569407
2021-01-01,582234
2022-01-01,579639
2023-01-01,602116
2024-01-01,570260
