Date,Value
1967-01-01,16393
1968-01-01,22397
1969-01-01,21849
1970-01-01,8563
1971-01-01,8046
1972-01-01,8412
1973-01-01,12643
1974-01-01,11796
1975-01-01,6892
1976-01-01,6149
1977-01-01,14163
1978-01-01,14484
1979-01-01,23768
1980-01-01,39895
1981-01-01,43871
1982-01-01,35168
1983-01-01,45870
1984-01-01,46291
1985-01-01,48107
1986-01-01,52977
1987-01-01,66604
1988-01-01,51982
1989-01-01,52783
1990-01-01,56581
1991-01-01,90465
1992-01-01,81712
1993-01-01,110044
1994-01-01,110064
1995-01-01,131893
1996-01-01,134867
1997-01-01,128186
1998-01-01,106161
1999-01-01,75250
2000-01-01,50216
2001-01-01,114407
2002-01-01,129598
2003-01-01,131125
2004-01-01,164164
2005-01-01,171616
2006-01-01,114343
2007-01-01,8063
2008-01-01,9118
2009-01-01,3112
2010-01-01,2810
2011-01-01,5747
2012-01-01,6630
2013-01-01,2124
2014-01-01,5293
2015-01-01,12437
2016-01-01,19221
2017-01-01,57627
2018-01-01,37088
2019-01-01,15953
2020-01-01,99605
2021-01-01,86824
2022-01-01,96163
2023-01-01,116422
2024-01-01,123928
