Date,Value
1980-01-01,5106.0
1981-01-01,3468.0
1982-01-01,2353.0
1983-01-01,2103.0
1984-01-01,1248.0
1985-01-01,1045.0
1986-01-01,879.0
1987-01-01,822.0
1988-01-01,757.0
1989-01-01,790.0
1990-01-01,681.0
1991-01-01,531.0
1992-01-01,682.0
1993-01-01,721.0
1994-01-01,762.0
1995-01-01,642.0
1996-01-01,700.0
1997-01-01,793.0
1998-01-01,751.0
1999-01-01,769.0
2000-01-01,788.0
2001-01-01,736.0
2002-01-01,431.0
2003-01-01,387.0
2004-01-01,402.0
2005-01-01,337.0
2006-01-01,304.0
2007-01-01,222.0
2008-01-01,306.0
2009-01-01,32.0
2010-01-01,1529.0
2011-01-01,2004.0
2012-01-01,0.0
2013-01-01,0.0
2014-01-01,
2015-01-01,0.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,0.0
2020-01-01,0.0
2021-01-01,0.0
2022-01-01,0.0
2023-01-01,0.0
2024-01-01,0.0
