Date,Value
1984-01-01,6238
1985-01-01,6656
1986-01-01,9004
1987-01-01,6708
1988-01-01,5800
1989-01-01,5102
1990-01-01,5393
1991-01-01,4447
1992-01-01,508
1993-01-01,532
1994-01-01,358
1995-01-01,93
1996-01-01,358
1997-01-01,161
1998-01-01,57
1999-01-01,78
2000-01-01,73
2001-01-01,89
2002-01-01,139
2003-01-01,123
2004-01-01,126
2005-01-01,87
2006-01-01,53
2007-01-01,42
2008-01-01,9044
2009-01-01,6244
2010-01-01,7448
2011-01-01,10271
2012-01-01,6762
2013-01-01,7221
2014-01-01,7008
2015-01-01,6708
2016-01-01,6807
2017-01-01,6047
2018-01-01,5764
2019-01-01,4986
2020-01-01,0
2021-01-01,0
2022-01-01,0
2023-01-01,0
2024-01-01,0
