Date,Value
1994-09-01,646.0
1995-05-01,696.0
1995-06-01,4590.0
1995-07-01,4767.0
1995-08-01,4382.0
1995-09-01,4389.0
1995-10-01,4603.0
1995-11-01,4932.0
1995-12-01,5137.0
1996-01-01,5088.0
1996-02-01,4788.0
1996-03-01,2269.0
1996-04-01,2009.0
1996-05-01,2564.0
1996-06-01,1687.0
1996-07-01,1695.0
1996-08-01,1724.0
1996-09-01,1229.0
1996-10-01,1255.0
1996-11-01,1547.0
1996-12-01,1422.0
1997-01-01,2411.0
1997-02-01,2381.0
1997-03-01,1594.0
1997-04-01,942.0
1997-05-01,490.0
1997-06-01,1391.0
1997-07-01,1344.0
1997-08-01,1185.0
1997-09-01,1114.0
1997-10-01,1130.0
1997-11-01,1058.0
1997-12-01,1750.0
1998-01-01,909.0
1998-02-01,697.0
1998-03-01,700.0
1998-04-01,689.0
1998-05-01,1194.0
1998-06-01,1161.0
1998-07-01,2299.0
1998-08-01,2625.0
1998-09-01,2235.0
1998-10-01,2226.0
1998-11-01,2258.0
1998-12-01,2373.0
1999-01-01,1462.0
1999-02-01,1480.0
1999-03-01,993.0
1999-04-01,1254.0
1999-05-01,1131.0
1999-06-01,1316.0
1999-07-01,904.0
1999-08-01,776.0
1999-09-01,1291.0
1999-10-01,1249.0
1999-11-01,894.0
1999-12-01,1084.0
2000-01-01,158.0
2000-02-01,65.0
2000-03-01,69.0
2000-04-01,100.0
2000-05-01,91.0
2000-06-01,626.0
2000-07-01,87.0
2000-08-01,119.0
2000-09-01,185.0
2000-10-01,220.0
2000-11-01,123.0
2000-12-01,99.0
2001-01-01,129.0
2001-02-01,98.0
2001-03-01,83.0
2001-04-01,55.0
2001-05-01,49.0
2001-06-01,47.0
2001-07-01,79.0
2001-08-01,274.0
2001-09-01,242.0
2001-10-01,254.0
2001-11-01,469.0
2001-12-01,68.0
2002-01-01,167.0
2002-02-01,68.0
2002-03-01,110.0
2002-04-01,123.0
2002-05-01,71.0
2002-06-01,55.0
2002-07-01,54.0
2002-08-01,89.0
2002-09-01,37.0
2002-10-01,40.0
2002-11-01,38.0
2002-12-01,102.0
2003-01-01,39.0
2003-02-01,47.0
2003-03-01,66.0
2003-04-01,69.0
2003-05-01,67.0
2003-06-01,52.0
2003-07-01,66.0
2003-08-01,80.0
2003-09-01,67.0
2003-10-01,56.0
2003-11-01,48.0
2003-12-01,50.0
2004-01-01,48.0
2004-02-01,56.0
2004-03-01,57.0
2004-04-01,45.0
2004-05-01,39.0
2004-06-01,43.0
2004-07-01,81.0
2004-08-01,73.0
2004-09-01,59.0
2004-10-01,89.0
2004-11-01,51.0
2004-12-01,46.0
2005-01-01,68.0
2005-02-01,56.0
2005-03-01,53.0
2005-04-01,63.0
2005-05-01,52.0
2005-06-01,55.0
2005-07-01,46.0
2005-08-01,39.0
2005-09-01,29.0
2005-10-01,31.0
2005-11-01,35.0
2005-12-01,67.0
2006-01-01,48.0
2006-02-01,84.0
2006-03-01,53.0
2006-04-01,44.0
2006-05-01,68.0
2006-06-01,41.0
2006-07-01,42.0
2006-08-01,39.0
2006-09-01,28.0
2006-10-01,38.0
2006-11-01,50.0
2006-12-01,49.0
2007-01-01,79.0
2007-02-01,114.0
2007-03-01,39.0
2007-04-01,49.0
2007-05-01,76.0
2007-06-01,76.0
2007-07-01,130.0
2007-08-01,99.0
2007-09-01,58.0
2007-10-01,61.0
2007-11-01,120.0
2007-12-01,104.0
2008-01-01,101.0
2008-02-01,92.0
2008-03-01,68.0
2008-04-01,38.0
2008-05-01,79.0
2008-06-01,106.0
2008-07-01,206.0
2008-08-01,228.0
2008-09-01,79.0
2008-10-01,117.0
2008-11-01,82.0
2008-12-01,89.0
2009-01-01,101.0
2009-02-01,93.0
2009-03-01,72.0
2009-04-01,83.0
2009-05-01,70.0
2009-06-01,53.0
2009-07-01,103.0
2009-08-01,138.0
2009-09-01,123.0
2009-10-01,152.0
2009-11-01,232.0
2009-12-01,179.0
2010-01-01,109.0
2010-02-01,105.0
2010-03-01,98.0
2010-04-01,83.0
2010-05-01,158.0
2010-06-01,180.0
