Date,Value
1967-01-01,14438
1968-01-01,17343
1969-01-01,50864
1970-01-01,111576
1971-01-01,121618
1972-01-01,125596
1973-01-01,131007
1974-01-01,128935
1975-01-01,160270
1976-01-01,166072
1977-01-01,187889
1978-01-01,203088
1979-01-01,220754
1980-01-01,230588
1981-01-01,242564
1982-01-01,264364
1983-01-01,276691
1984-01-01,289129
1985-01-01,321346
1986-01-01,304841
1987-01-01,359837
1988-01-01,378638
1989-01-01,393729
1990-01-01,402907
1991-01-01,437822
1992-01-01,443597
1993-01-01,430350
1994-01-01,555402
1995-01-01,469550
1996-01-01,480828
1997-01-01,468311
1998-01-01,466648
1999-01-01,462967
2000-01-01,458995
2001-01-01,471440
2002-01-01,463301
2003-01-01,489757
2004-01-01,471899
2005-01-01,487282
2006-01-01,444724
2007-01-01,433485
2008-01-01,398442
2009-01-01,397077
2010-01-01,374226
2011-01-01,356225
2012-01-01,351259
2013-01-01,338182
2014-01-01,345310
2015-01-01,343625
2016-01-01,332749
2017-01-01,344385
2018-01-01,341315
2019-01-01,329361
2020-01-01,339337
2021-01-01,354660
2022-01-01,373145
2023-01-01,367729
2024-01-01,371876
2025-01-01,368956
