Date,Value
1989-01-01,639.0
1989-02-01,550.0
1989-03-01,577.0
1989-04-01,597.0
1989-05-01,660.0
1989-06-01,571.0
1989-07-01,638.0
1989-08-01,645.0
1989-09-01,665.0
1989-10-01,708.0
1989-11-01,611.0
1989-12-01,673.0
1990-01-01,621.0
1990-02-01,629.0
1990-03-01,534.0
1990-04-01,591.0
1990-05-01,610.0
1990-06-01,517.0
1990-07-01,515.0
1990-08-01,462.0
1990-09-01,421.0
1990-10-01,543.0
1990-11-01,484.0
1990-12-01,556.0
1991-01-01,290.0
1991-02-01,285.0
1991-03-01,325.0
1991-04-01,412.0
1991-05-01,301.0
1991-06-01,94.0
1991-07-01,381.0
1991-08-01,465.0
1991-09-01,543.0
1991-10-01,602.0
1991-11-01,591.0
1991-12-01,594.0
1992-01-01,570.0
1992-02-01,536.0
1992-03-01,492.0
1992-04-01,488.0
1992-05-01,520.0
1992-06-01,572.0
1992-07-01,458.0
1992-08-01,574.0
1992-09-01,564.0
1992-10-01,654.0
1992-11-01,593.0
1992-12-01,635.0
1993-01-01,619.0
1993-02-01,564.0
1993-03-01,582.0
1993-04-01,583.0
1993-05-01,588.0
1993-06-01,570.0
1993-07-01,579.0
1993-08-01,630.0
1993-09-01,576.0
1993-10-01,623.0
1993-11-01,573.0
1993-12-01,598.0
1994-01-01,577.0
1994-02-01,547.0
1994-03-01,676.0
1994-04-01,602.0
1994-05-01,621.0
1994-06-01,616.0
1994-07-01,676.0
1994-08-01,634.0
1994-09-01,586.0
1994-10-01,712.0
1994-11-01,629.0
1994-12-01,610.0
1995-01-01,559.0
1995-02-01,570.0
1995-03-01,598.0
1995-04-01,578.0
1995-05-01,604.0
1995-06-01,535.0
1995-07-01,537.0
1995-08-01,502.0
1995-09-01,508.0
1995-10-01,475.0
1995-11-01,497.0
1995-12-01,502.0
1996-01-01,518.0
1996-02-01,493.0
1996-03-01,460.0
1996-04-01,456.0
1996-05-01,483.0
1996-06-01,503.0
1996-07-01,500.0
1996-08-01,540.0
1996-09-01,537.0
1996-10-01,468.0
1996-11-01,517.0
1996-12-01,531.0
1997-01-01,527.0
1997-02-01,512.0
1997-03-01,610.0
1997-04-01,554.0
1997-05-01,541.0
1997-06-01,450.0
1997-07-01,514.0
1997-08-01,505.0
1997-09-01,519.0
1997-10-01,452.0
1997-11-01,439.0
1997-12-01,491.0
1998-01-01,503.0
1998-02-01,491.0
1998-03-01,592.0
1998-04-01,531.0
1998-05-01,513.0
1998-06-01,426.0
1998-07-01,486.0
1998-08-01,472.0
1998-09-01,498.0
1998-10-01,423.0
1998-11-01,401.0
1998-12-01,459.0
