Date,Value
1967-01-01,5144
1968-01-01,4380
1969-01-01,3800
1970-01-01,4850
1971-01-01,498
1972-01-01,1194
1973-01-01,1638
1974-01-01,1436
1975-01-01,1440
1976-01-01,1556
1977-01-01,1003
1978-01-01,1159
1979-01-01,1585
1980-01-01,1574
1981-01-01,1295
1982-01-01,1162
1983-01-01,1030
1984-01-01,1530
1985-01-01,1324
1986-01-01,1887
1987-01-01,1371
1988-01-01,1338
1989-01-01,1477
1990-01-01,677
1991-01-01,466
1992-01-01,347
1993-01-01,340
1994-01-01,333
1995-01-01,335
1996-01-01,298
1997-01-01,231
1998-01-01,209
1999-01-01,195
2000-01-01,189
2001-01-01,185
2002-01-01,180
2003-01-01,174
2004-01-01,170
2005-01-01,166
2006-01-01,170
2007-01-01,1394
2008-01-01,1193
2009-01-01,1443
2010-01-01,1702
2011-01-01,2121
2012-01-01,2125
2013-01-01,2887
2014-01-01,1929
2015-01-01,2080
2016-01-01,2183
2017-01-01,2131
2018-01-01,2464
2019-01-01,2150
2020-01-01,1840
2021-01-01,1637
2022-01-01,2003
2023-01-01,2588
2024-01-01,3191
