Date,Value
1973-01-01,92694
1973-02-01,83870
1973-03-01,91581
1973-04-01,88407
1973-05-01,85844
1973-06-01,79121
1973-07-01,79428
1973-08-01,84400
1973-09-01,81157
1973-10-01,92151
1973-11-01,85784
1973-12-01,88466
1974-01-01,85815
1974-02-01,78919
1974-03-01,85190
1974-04-01,83371
1974-05-01,79764
1974-06-01,74245
1974-07-01,73247
1974-08-01,76037
1974-09-01,70511
1974-10-01,82625
1974-11-01,83107
1974-12-01,86454
1975-01-01,80824
1975-02-01,74496
1975-03-01,83380
1975-04-01,82132
1975-05-01,79818
1975-06-01,76307
1975-07-01,80037
1975-08-01,75311
1975-09-01,73606
1975-10-01,80468
1975-11-01,80761
1975-12-01,85867
1976-01-01,84395
1976-02-01,78024
1976-03-01,84910
1976-04-01,85940
1976-05-01,81650
1976-06-01,75785
1976-07-01,73108
1976-08-01,76539
1976-09-01,74125
1976-10-01,85257
1976-11-01,80926
1976-12-01,83110
1977-01-01,86944
1977-02-01,91751
1977-03-01,100826
1977-04-01,84474
1977-05-01,85697
1977-06-01,76247
1977-07-01,72499
1977-08-01,76453
1977-09-01,75446
1977-10-01,84828
1977-11-01,86300
1977-12-01,89536
1978-01-01,85796
1978-02-01,77256
1978-03-01,85621
1978-04-01,78313
1978-05-01,73829
1978-06-01,68327
1978-07-01,71557
1978-08-01,73604
1978-09-01,73236
1978-10-01,80197
1978-11-01,90783
1978-12-01,107026
1979-01-01,102237
1979-02-01,96612
1979-03-01,112962
1979-04-01,105864
1979-05-01,104317
1979-06-01,100633
1979-07-01,103754
1979-08-01,96985
1979-09-01,97936
1979-10-01,107418
1979-11-01,114564
1979-12-01,110099
1980-01-01,118006
1980-02-01,108192
1980-03-01,108648
1980-04-01,77257
1980-05-01,70207
1980-06-01,61256
1980-07-01,60600
1980-08-01,59966
1980-09-01,60190
1980-10-01,74355
1980-11-01,88279
1980-12-01,97806
1981-01-01,91149
1981-02-01,84706
1981-03-01,79820
1981-04-01,69337
1981-05-01,62377
1981-06-01,64923
1981-07-01,66184
1981-08-01,64450
1981-09-01,67316
1981-10-01,79204
1981-11-01,81940
1981-12-01,92544
1982-01-01,98077
1982-02-01,85337
1982-03-01,81648
1982-04-01,71591
1982-05-01,65324
1982-06-01,61213
1982-07-01,66839
1982-08-01,60809
1982-09-01,65515
1982-10-01,76522
1982-11-01,90532
1982-12-01,109928
1983-01-01,112108
1983-02-01,94673
1983-03-01,85912
1983-04-01,73644
1983-05-01,61135
1983-06-01,58866
1983-07-01,58094
1983-08-01,55511
1983-09-01,66866
1983-10-01,64236
1983-11-01,80498
1983-12-01,106865
1984-01-01,97339
1984-02-01,68900
1984-03-01,69161
1984-04-01,71215
1984-05-01,65967
1984-06-01,59292
1984-07-01,55459
1984-08-01,54104
1984-09-01,56831
1984-10-01,65822
1984-11-01,84502
1984-12-01,94469
1985-01-01,103893
1985-02-01,99497
1985-03-01,89554
1985-04-01,75513
1985-05-01,73439
1985-06-01,65422
1985-07-01,59497
1985-08-01,60519
1985-09-01,63268
1985-10-01,75802
1985-11-01,77078
1985-12-01,106233
1986-01-01,99415
1986-02-01,74182
1986-03-01,54684
1986-04-01,42512
1986-05-01,52179
1986-06-01,44427
1986-07-01,48382
1986-08-01,50580
1986-09-01,54479
1986-10-01,68628
1986-11-01,70483
1986-12-01,90497
1987-01-01,100779
1987-02-01,83911
1987-03-01,85778
1987-04-01,68486
1987-05-01,61422
1987-06-01,57709
1987-07-01,66211
1987-08-01,74702
1987-09-01,72837
1987-10-01,93094
1987-11-01,107092
1987-12-01,120510
1988-01-01,137865
1988-02-01,116223
1988-03-01,111816
1988-04-01,94722
1988-05-01,93370
1988-06-01,93165
1988-07-01,99844
1988-08-01,95434
1988-09-01,95861
1988-10-01,106884
1988-11-01,120685
1988-12-01,127943
1989-01-01,119269
1989-02-01,110218
1989-03-01,113196
1989-04-01,110335
1989-05-01,107980
1989-06-01,103706
1989-07-01,101486
1989-08-01,107770
1989-09-01,116763
1989-10-01,122663
1989-11-01,123159
1989-12-01,144973
1990-01-01,140176
1990-02-01,117576
1990-03-01,115979
1990-04-01,123360
1990-05-01,122917
1990-06-01,117009
1990-07-01,119686
1990-08-01,118485
1990-09-01,119523
1990-10-01,141974
1990-11-01,139691
1990-12-01,155884
1991-01-01,163448
1991-02-01,137998
1991-03-01,151487
1991-04-01,143955
1991-05-01,141292
1991-06-01,133264
1991-07-01,134859
1991-08-01,127139
1991-09-01,133934
1991-10-01,156635
1991-11-01,168718
1991-12-01,180585
1992-01-01,164636
1992-02-01,175243
1992-03-01,180482
1992-04-01,176146
1992-05-01,174312
1992-06-01,162249
1992-07-01,167216
1992-08-01,174733
1992-09-01,166117
1992-10-01,176466
1992-11-01,210479
1992-12-01,209426
1993-01-01,200070
1993-02-01,190711
1993-03-01,204415
1993-04-01,188666
1993-05-01,171307
1993-06-01,182364
1993-07-01,194581
1993-08-01,197322
1993-09-01,194027
1993-10-01,192222
1993-11-01,209619
1993-12-01,224811
1994-01-01,240895
1994-02-01,198661
1994-03-01,222858
1994-04-01,211749
1994-05-01,206131
1994-06-01,200582
1994-07-01,221166
1994-08-01,218879
1994-09-01,209996
1994-10-01,221627
1994-11-01,225819
1994-12-01,245477
1995-01-01,253335
1995-02-01,235977
1995-03-01,250349
1995-04-01,231745
1995-05-01,228259
1995-06-01,217456
1995-07-01,222652
1995-08-01,236891
1995-09-01,227708
1995-10-01,236003
1995-11-01,236344
1995-12-01,264329
1996-01-01,263615
1996-02-01,233756
1996-03-01,241526
1996-04-01,236857
1996-05-01,252158
1996-06-01,226587
1996-07-01,236864
1996-08-01,237858
1996-09-01,237500
1996-10-01,247520
1996-11-01,251807
1996-12-01,271366
1997-01-01,278288
1997-02-01,240545
1997-03-01,256985
1997-04-01,238178
1997-05-01,241732
1997-06-01,232118
1997-07-01,235593
1997-08-01,244684
1997-09-01,239486
1997-10-01,251758
1997-11-01,272091
1997-12-01,262716
1998-01-01,286278
1998-02-01,251052
1998-03-01,263032
1998-04-01,253161
1998-05-01,252310
1998-06-01,243442
1998-07-01,266319
1998-08-01,274809
1998-09-01,262142
1998-10-01,266063
1998-11-01,258033
1998-12-01,275417
1999-01-01,310790
1999-02-01,286412
1999-03-01,301610
1999-04-01,271387
1999-05-01,291454
1999-06-01,279096
1999-07-01,296422
1999-08-01,312081
1999-09-01,302414
1999-10-01,304637
1999-11-01,305152
1999-12-01,324050
2000-01-01,325897
2000-02-01,300107
2000-03-01,306596
2000-04-01,294016
2000-05-01,287793
2000-06-01,296046
2000-07-01,322285
2000-08-01,318308
2000-09-01,304843
2000-10-01,324527
2000-11-01,329759
2000-12-01,371425
2001-01-01,373077
2001-02-01,328289
2001-03-01,358103
2001-04-01,318573
2001-05-01,321878
2001-06-01,317414
2001-07-01,364571
2001-08-01,353338
2001-09-01,314864
2001-10-01,326114
2001-11-01,291044
2001-12-01,309673
2002-01-01,343481
2002-02-01,305917
2002-03-01,332596
2002-04-01,315116
2002-05-01,319404
2002-06-01,318002
2002-07-01,344641
2002-08-01,356013
2002-09-01,335594
2002-10-01,343427
2002-11-01,330544
2002-12-01,370729
2003-01-01,359168
2003-02-01,308804
2003-03-01,324364
2003-04-01,314655
2003-05-01,325157
2003-06-01,306878
2003-07-01,340532
2003-08-01,331628
2003-09-01,320676
2003-10-01,331005
2003-11-01,316721
2003-12-01,364161
2004-01-01,373195
2004-02-01,345930
2004-03-01,348992
