Date,Value
1973-01-01,1027883
1974-01-01,959063
1975-01-01,948115
1976-01-01,953613
1977-01-01,997295
1978-01-01,881123
1979-01-01,1000775
1980-01-01,796507
1981-01-01,762113
1982-01-01,783407
1983-01-01,711923
1984-01-01,755368
1985-01-01,926056
1986-01-01,748780
1987-01-01,992532
1988-01-01,1276322
1989-01-01,1339357
1990-01-01,1448065
1991-01-01,1709716
1992-01-01,2094387
1993-01-01,2266751
1994-01-01,2566049
1995-01-01,2816408
1996-01-01,2883277
1997-01-01,2899152
1998-01-01,3052073
1999-01-01,3367545
2000-01-01,3543966
2001-01-01,3728537
2002-01-01,3784978
2003-01-01,3437230
2004-01-01,3606543
2005-01-01,3700454
2006-01-01,3589995
2007-01-01,3782708
2008-01-01,3589089
2009-01-01,3271107
2010-01-01,3279752
2011-01-01,3117081
2012-01-01,2962827
2013-01-01,2785427
2014-01-01,2634375
2015-01-01,2625359
2016-01-01,2916913
2017-01-01,2953524
2018-01-01,2808720
2019-01-01,2686564
2020-01-01,2499955
2021-01-01,2784438
2022-01-01,2997435
2023-01-01,2911361
2024-01-01,3127280
2025-01-01,3149882
