Date,Value
1973-01-01,97
1973-02-01,174
1973-03-01,270
1973-04-01,219
1973-05-01,132
1973-06-01,127
1973-07-01,0
1973-08-01,40
1973-09-01,71
1973-10-01,236
1973-11-01,74
1973-12-01,192
1974-01-01,86
1974-02-01,74
1974-03-01,25
1974-04-01,30
1974-05-01,7
1974-06-01,0
1974-07-01,0
1974-08-01,0
1974-09-01,0
1974-10-01,0
1974-11-01,0
1974-12-01,0
1975-01-01,0
1975-02-01,0
1975-03-01,0
1975-04-01,0
1975-05-01,0
1975-06-01,0
1975-07-01,0
1975-08-01,0
1975-09-01,0
1975-10-01,0
1975-11-01,0
1975-12-01,0
1976-01-01,0
1976-02-01,0
1976-03-01,0
1976-04-01,0
1976-05-01,0
1976-06-01,0
1976-07-01,0
1976-08-01,0
1976-09-01,0
1976-10-01,0
1976-11-01,0
1976-12-01,0
1977-01-01,0
1977-02-01,791
1977-03-01,1406
1977-04-01,187
1977-05-01,0
1977-06-01,0
1977-07-01,0
1977-08-01,0
1977-09-01,0
1977-10-01,0
1977-11-01,0
1977-12-01,0
1978-01-01,0
1978-02-01,0
1978-03-01,0
1978-04-01,0
1978-05-01,0
1978-06-01,0
1978-07-01,0
1978-08-01,0
1978-09-01,0
1978-10-01,0
1978-11-01,0
1978-12-01,0
1979-01-01,0
1979-02-01,0
1979-03-01,0
1979-04-01,0
1979-05-01,0
1979-06-01,0
1979-07-01,0
1979-08-01,0
1979-09-01,0
1979-10-01,0
1979-11-01,0
1979-12-01,0
1980-01-01,4920
1980-02-01,7829
1980-03-01,9370
1980-04-01,9390
1980-05-01,9216
1980-06-01,8536
1980-07-01,8951
1980-08-01,9444
1980-09-01,9003
1980-10-01,8828
1980-11-01,7922
1980-12-01,9000
1981-01-01,10102
1981-02-01,8899
1981-03-01,9140
1981-04-01,9176
1981-05-01,7959
1981-06-01,7839
1981-07-01,7881
1981-08-01,8186
1981-09-01,9274
1981-10-01,8611
1981-11-01,8445
1981-12-01,9500
1982-01-01,8801
1982-02-01,7632
1982-03-01,6754
1982-04-01,7007
1982-05-01,7369
1982-06-01,7503
1982-07-01,8613
1982-08-01,8115
1982-09-01,7625
1982-10-01,7722
1982-11-01,8187
1982-12-01,9464
1983-01-01,8969
1983-02-01,8113
1983-03-01,8468
1983-04-01,5487
1983-05-01,5618
1983-06-01,5439
1983-07-01,5616
1983-08-01,5618
1983-09-01,5435
1983-10-01,5611
1983-11-01,5427
1983-12-01,5559
1984-01-01,4646
1984-02-01,3736
1984-03-01,4681
1984-04-01,5201
1984-05-01,5605
1984-06-01,5415
1984-07-01,5596
1984-08-01,5602
1984-09-01,5421
1984-10-01,5598
1984-11-01,0
1984-12-01,0
1985-01-01,0
1985-02-01,0
1985-03-01,0
1985-04-01,0
1985-05-01,0
1985-06-01,0
1985-07-01,0
1985-08-01,0
1985-09-01,0
1985-10-01,0
1985-11-01,0
1985-12-01,0
1986-01-01,0
1986-02-01,0
1986-03-01,0
1986-04-01,0
1986-05-01,0
1986-06-01,0
1986-07-01,0
1986-08-01,0
1986-09-01,0
1986-10-01,0
1986-11-01,0
1986-12-01,0
1987-01-01,0
1987-02-01,0
1987-03-01,0
1987-04-01,0
1987-05-01,0
1987-06-01,0
1987-07-01,0
1987-08-01,0
1987-09-01,0
1987-10-01,0
1987-11-01,0
1987-12-01,0
1988-01-01,0
1988-02-01,0
1988-03-01,0
1988-04-01,0
1988-05-01,0
1988-06-01,0
1988-07-01,0
1988-08-01,0
1988-09-01,0
1988-10-01,0
1988-11-01,0
1988-12-01,0
1989-01-01,0
1989-02-01,0
1989-03-01,0
1989-04-01,0
1989-05-01,0
1989-06-01,0
1989-07-01,0
1989-08-01,0
1989-09-01,0
1989-10-01,0
1989-11-01,0
1989-12-01,0
1990-01-01,0
1990-02-01,0
1990-03-01,0
1990-04-01,0
1990-05-01,0
1990-06-01,0
1990-07-01,0
1990-08-01,0
1990-09-01,0
1990-10-01,0
1990-11-01,0
1990-12-01,0
1991-01-01,0
1991-02-01,0
1991-03-01,0
