Date,Value
1985-01-01,23659
1986-01-01,1669
1987-01-01,0
1988-01-01,17490
1989-01-01,42163
1990-01-01,84193
1991-01-01,63596
1992-01-01,43116
1993-01-01,81685
1994-01-01,50778
1995-01-01,17918
1996-01-01,40274
1997-01-01,77778
1998-01-01,85453
1999-01-01,163430
2000-01-01,226036
2001-01-01,238126
2002-01-01,228730
2003-01-01,506519
2004-01-01,652015
2005-01-01,631260
2006-01-01,583537
2007-01-01,770812
2008-01-01,351698
2009-01-01,451957
2010-01-01,431010
2011-01-01,348939
2012-01-01,174649
2013-01-01,96859
2014-01-01,59275
2015-01-01,91511
2016-01-01,88367
2017-01-01,78011
2018-01-01,76451
2019-01-01,52903
2020-01-01,49214
2021-01-01,21587
2022-01-01,25268
2023-01-01,15239
2024-01-01,16481
2025-01-01,13786
