Date,Value
1973-01-01,60
1973-02-01,384
1973-03-01,1167
1973-04-01,931
1973-05-01,1670
1973-06-01,1598
1973-07-01,1758
1973-08-01,1829
1973-09-01,1022
1973-10-01,1465
1973-11-01,1483
1973-12-01,1456
1974-01-01,34
1974-02-01,362
1974-03-01,1059
1974-04-01,749
1974-05-01,1424
1974-06-01,1689
1974-07-01,1532
1974-08-01,1455
1974-09-01,1004
1974-10-01,1269
1974-11-01,1349
1974-12-01,1336
1975-01-01,26
1975-02-01,317
1975-03-01,968
1975-04-01,657
1975-05-01,1350
1975-06-01,1393
1975-07-01,1422
1975-08-01,1117
1975-09-01,896
1975-10-01,864
1975-11-01,139
1975-12-01,1071
1976-01-01,41
1976-02-01,275
1976-03-01,868
1976-04-01,600
1976-05-01,1059
1976-06-01,1223
1976-07-01,964
1976-08-01,613
1976-09-01,630
1976-10-01,1066
1976-11-01,162
1976-12-01,4
1977-01-01,5
1977-02-01,3
1977-03-01,4
1977-04-01,2
1977-05-01,1
1977-06-01,1
1977-07-01,1
1977-08-01,1
1977-09-01,1
1977-10-01,2
1977-11-01,4
1977-12-01,5
1978-01-01,6
1978-02-01,11
1978-03-01,4
1978-04-01,3
1978-05-01,2
1978-06-01,1
1978-07-01,1
1978-08-01,1
1978-09-01,1
1978-10-01,3
1978-11-01,14
1978-12-01,18
1979-01-01,14
1979-02-01,22
1979-03-01,10
1979-04-01,6
1979-05-01,3
1979-06-01,1
1979-07-01,1
1979-08-01,1
1979-09-01,1
1979-10-01,2
1979-11-01,9
1979-12-01,7
1980-01-01,11
1980-02-01,15
1980-03-01,16
1980-04-01,7
1980-05-01,4
1980-06-01,3
1980-07-01,3
1980-08-01,2
1980-09-01,4
1980-10-01,8
1980-11-01,14
1980-12-01,24
1981-01-01,17
1981-02-01,16
1981-03-01,13
1981-04-01,9
1981-05-01,6
1981-06-01,3
1981-07-01,1
1981-08-01,1
1981-09-01,1
1981-10-01,7
1981-11-01,12
1981-12-01,22
1982-01-01,34
1982-02-01,22
1982-03-01,19
1982-04-01,14
1982-05-01,9
1982-06-01,5
1982-07-01,4
1982-08-01,4
1982-09-01,6
1982-10-01,9
1982-11-01,16
1982-12-01,20
1983-01-01,18
1983-02-01,15
1983-03-01,15
1983-04-01,11
1983-05-01,7
1983-06-01,5
1983-07-01,4
1983-08-01,4
1983-09-01,6
1983-10-01,9
1983-11-01,11
1983-12-01,32
1984-01-01,19
1984-02-01,15
1984-03-01,11
1984-04-01,6
1984-05-01,2
1984-06-01,1
1984-07-01,1
1984-08-01,1
1984-09-01,2
1984-10-01,10
1984-11-01,20
1984-12-01,40
1985-01-01,29
1985-02-01,28
1985-03-01,21
1985-04-01,11
1985-05-01,1
1985-06-01,4
1985-07-01,5
1985-08-01,1
1985-09-01,2
1985-10-01,10
1985-11-01,36
1985-12-01,29
1986-01-01,23
1986-02-01,32
1986-03-01,706
1986-04-01,1274
1986-05-01,1390
1986-06-01,1444
1986-07-01,1100
1986-08-01,102
1986-09-01,1
1986-10-01,863
1986-11-01,1370
1986-12-01,898
1987-01-01,488
1987-02-01,283
1987-03-01,13
1987-04-01,12
1987-05-01,4
1987-06-01,1
1987-07-01,1
1987-08-01,1
1987-09-01,1
1987-10-01,672
1987-11-01,1818
1987-12-01,5
1988-01-01,75
1988-02-01,9
1988-03-01,1585
1988-04-01,1719
1988-05-01,2142
1988-06-01,3881
1988-07-01,275
1988-08-01,1386
1988-09-01,2584
1988-10-01,947
1988-11-01,2197
1988-12-01,2939
1989-01-01,2004
1989-02-01,1390
1989-03-01,2464
1989-04-01,4558
1989-05-01,2405
1989-06-01,3570
1989-07-01,3727
1989-08-01,4614
1989-09-01,4533
1989-10-01,4081
1989-11-01,3017
1989-12-01,2081
1990-01-01,8465
1990-02-01,1349
1990-03-01,3346
1990-04-01,1080
1990-05-01,486
1990-06-01,161
1990-07-01,0
1990-08-01,1
1990-09-01,1
1990-10-01,8
1990-11-01,1311
1990-12-01,1153
1991-01-01,1710
1991-02-01,3343
1991-03-01,1228
1991-04-01,2
1991-05-01,36
1991-06-01,31
1991-07-01,195
1991-08-01,540
1991-09-01,446
1991-10-01,2245
1991-11-01,2385
1991-12-01,2630
1992-01-01,2377
1992-02-01,3654
1992-03-01,11437
1992-04-01,5980
1992-05-01,5919
1992-06-01,6172
1992-07-01,5230
1992-08-01,5074
1992-09-01,5547
1992-10-01,6290
1992-11-01,3487
1992-12-01,6611
1993-01-01,4249
1993-02-01,5539
1993-03-01,6614
1993-04-01,3880
1993-05-01,3338
1993-06-01,3423
1993-07-01,3592
1993-08-01,2748
1993-09-01,2437
1993-10-01,3274
1993-11-01,2907
1993-12-01,2517
1994-01-01,4084
1994-02-01,7809
1994-03-01,12279
1994-04-01,3872
1994-05-01,2940
1994-06-01,5775
1994-07-01,2823
1994-08-01,1259
1994-09-01,1684
1994-10-01,1591
1994-11-01,4446
1994-12-01,3995
1995-01-01,2518
1995-02-01,2016
1995-03-01,2387
1995-04-01,2457
1995-05-01,1931
1995-06-01,2106
1995-07-01,2446
1995-08-01,2558
1995-09-01,3336
1995-10-01,2929
1995-11-01,1627
1995-12-01,1244
1996-01-01,7044
1996-02-01,5207
1996-03-01,6616
1996-04-01,2430
1996-05-01,2809
1996-06-01,3001
1996-07-01,3777
1996-08-01,2197
1996-09-01,2514
1996-10-01,4311
1996-11-01,6776
1996-12-01,5222
1997-01-01,4193
1997-02-01,5169
1997-03-01,9115
1997-04-01,5168
1997-05-01,4107
1997-06-01,3162
1997-07-01,3257
1997-08-01,3820
1997-09-01,3129
1997-10-01,2432
1997-11-01,5579
1997-12-01,7318
1998-01-01,4930
1998-02-01,4502
1998-03-01,7851
1998-04-01,4509
1998-05-01,2083
1998-06-01,1938
1998-07-01,1634
1998-08-01,52
1998-09-01,1481
1998-10-01,2127
1998-11-01,3630
1998-12-01,5152
1999-01-01,2264
1999-02-01,2564
1999-03-01,4494
1999-04-01,2246
1999-05-01,2212
1999-06-01,1953
1999-07-01,1987
1999-08-01,2018
1999-09-01,1959
1999-10-01,2339
1999-11-01,8018
1999-12-01,6454
2000-01-01,6234
2000-02-01,9017
2000-03-01,9051
2000-04-01,3093
2000-05-01,3732
2000-06-01,3742
2000-07-01,3762
2000-08-01,3900
2000-09-01,4682
2000-10-01,5327
2000-11-01,9877
2000-12-01,10169
2001-01-01,11818
2001-02-01,15116
2001-03-01,19400
2001-04-01,12683
2001-05-01,13328
2001-06-01,9568
2001-07-01,10449
2001-08-01,7567
2001-09-01,10030
2001-10-01,10907
2001-11-01,20659
2001-12-01,25165
2002-01-01,16274
2002-02-01,15822
2002-03-01,14270
2002-04-01,12619
2002-05-01,14777
2002-06-01,14379
2002-07-01,11856
2002-08-01,11983
2002-09-01,13471
2002-10-01,10182
2002-11-01,27678
2002-12-01,26005
2003-01-01,24719
2003-02-01,25546
2003-03-01,28854
2003-04-01,22661
2003-05-01,15159
2003-06-01,17484
2003-07-01,13429
2003-08-01,14203
2003-09-01,18657
2003-10-01,20236
2003-11-01,32214
2003-12-01,37826
2004-01-01,31054
2004-02-01,37817
2004-03-01,55703
2004-04-01,32720
2004-05-01,26984
2004-06-01,24424
2004-07-01,23224
2004-08-01,22575
2004-09-01,29681
2004-10-01,21827
2004-11-01,45803
2004-12-01,42774
2005-01-01,53059
2005-02-01,52597
2005-03-01,64725
2005-04-01,29221
2005-05-01,28465
2005-06-01,18392
2005-07-01,17957
2005-08-01,19254
2005-09-01,16123
2005-10-01,15169
2005-11-01,20488
2005-12-01,22828
2006-01-01,31979
2006-02-01,32718
2006-03-01,37407
2006-04-01,15651
2006-05-01,21343
2006-06-01,22974
2006-07-01,16624
2006-08-01,17187
2006-09-01,22936
2006-10-01,30440
2006-11-01,44928
2006-12-01,46878
2007-01-01,40663
2007-02-01,34287
2007-03-01,53430
2007-04-01,31748
2007-05-01,35031
2007-06-01,28197
2007-07-01,37897
2007-08-01,27608
2007-09-01,32984
2007-10-01,31094
2007-11-01,57587
2007-12-01,71671
2008-01-01,66585
2008-02-01,59189
2008-03-01,66400
2008-04-01,43367
2008-05-01,40356
2008-06-01,27484
2008-07-01,29551
2008-08-01,27579
2008-09-01,25683
2008-10-01,35446
2008-11-01,61464
2008-12-01,75545
2009-01-01,83544
2009-02-01,75174
2009-03-01,76564
2009-04-01,55450
2009-05-01,46007
2009-06-01,36558
2009-07-01,41794
2009-08-01,45214
2009-09-01,46852
2009-10-01,47086
2009-11-01,65747
2009-12-01,80608
2010-01-01,68232
2010-02-01,60310
2010-03-01,76977
2010-04-01,50454
2010-05-01,54676
2010-06-01,51219
2010-07-01,49558
2010-08-01,48899
2010-09-01,49604
2010-10-01,63371
2010-11-01,83875
2010-12-01,81572
2011-01-01,85171
2011-02-01,83577
2011-03-01,98465
2011-04-01,75750
2011-05-01,79646
2011-06-01,71099
2011-07-01,63754
2011-08-01,67490
2011-09-01,77496
2011-10-01,63997
2011-11-01,83861
2011-12-01,86688
2012-01-01,83852
2012-02-01,86627
2012-03-01,92962
2012-04-01,77652
2012-05-01,78008
2012-06-01,64262
2012-07-01,61822
2012-08-01,77088
2012-09-01,79795
2012-10-01,75043
2012-11-01,92926
2012-12-01,100693
2013-01-01,98824
2013-02-01,84221
2013-03-01,92414
2013-04-01,70909
2013-05-01,81695
2013-06-01,75874
2013-07-01,66473
2013-08-01,68329
2013-09-01,69733
2013-10-01,69644
2013-11-01,59903
2013-12-01,72988
2014-01-01,81939
2014-02-01,84535
2014-03-01,91436
2014-04-01,65157
2014-05-01,49976
2014-06-01,54581
2014-07-01,55096
2014-08-01,46888
2014-09-01,52153
2014-10-01,51838
2014-11-01,62327
2014-12-01,73331
2015-01-01,73028
2015-02-01,77594
2015-03-01,89639
2015-04-01,53086
2015-05-01,44672
2015-06-01,44658
2015-07-01,39995
2015-08-01,40986
2015-09-01,59695
2015-10-01,57430
2015-11-01,61260
2015-12-01,58603
2016-01-01,69629
2016-02-01,62192
2016-03-01,81403
2016-04-01,62931
2016-05-01,62768
2016-06-01,50715
2016-07-01,49750
2016-08-01,55012
2016-09-01,61499
2016-10-01,43471
2016-11-01,74544
2016-12-01,97178
2017-01-01,98811
2017-02-01,87798
2017-03-01,99914
2017-04-01,80532
2017-05-01,63949
2017-06-01,66725
2017-07-01,59760
2017-08-01,66336
2017-09-01,69631
2017-10-01,68143
2017-11-01,73857
2017-12-01,80924
2018-01-01,91120
2018-02-01,76340
2018-03-01,67652
2018-04-01,62641
2018-05-01,39689
2018-06-01,50976
2018-07-01,56880
2018-08-01,65677
2018-09-01,70393
2018-10-01,64726
2018-11-01,89784
2018-12-01,100101
2019-01-01,87269
2019-02-01,91561
2019-03-01,93182
2019-04-01,71333
2019-05-01,70182
2019-06-01,61809
2019-07-01,68613
2019-08-01,78302
2019-09-01,71573
2019-10-01,76246
2019-11-01,92671
2019-12-01,109779
2020-01-01,99231
2020-02-01,77354
2020-03-01,86579
2020-04-01,71722
2020-05-01,67752
2020-06-01,66516
2020-07-01,71778
2020-08-01,61881
2020-09-01,62211
2020-10-01,72833
2020-11-01,81358
2020-12-01,84307
2021-01-01,84927
2021-02-01,78198
2021-03-01,91301
2021-04-01,74567
2021-05-01,70561
2021-06-01,69528
2021-07-01,68264
2021-08-01,71586
2021-09-01,72023
2021-10-01,62464
2021-11-01,85136
2021-12-01,108568
2022-01-01,81577
2022-02-01,74630
2022-03-01,105074
2022-04-01,80475
2022-05-01,79214
2022-06-01,70105
2022-07-01,69774
2022-08-01,75220
2022-09-01,61926
2022-10-01,72738
2022-11-01,91423
2022-12-01,100003
2023-01-01,105422
2023-02-01,95691
2023-03-01,106178
2023-04-01,75674
2023-05-01,77984
2023-06-01,75319
2023-07-01,76565
2023-08-01,68390
2023-09-01,76618
2023-10-01,66935
2023-11-01,88966
2023-12-01,111265
2024-01-01,92090
2024-02-01,113960
2024-03-01,115589
2024-04-01,72527
2024-05-01,66528
2024-06-01,66541
2024-07-01,66314
2024-08-01,65952
2024-09-01,69683
2024-10-01,71800
2024-11-01,85225
2024-12-01,109811
2025-01-01,85582
2025-02-01,100856
2025-03-01,108969
2025-04-01,76545
2025-05-01,75068
2025-06-01,67133
2025-07-01,70518
2025-08-01,81393
2025-09-01,71124
2025-10-01,77860
2025-11-01,94288
2025-12-01,124150
2026-01-01,105241
2026-02-01,112686
