Date,Value
1977-01-01,86801.0
1978-01-01,246367.0
1979-01-01,550072.0
1980-01-01,677414.0
1981-01-01,758982.0
1982-01-01,850497.0
1983-01-01,811729.0
1984-01-01,875842.0
1985-01-01,799468.0
1986-01-01,1015811.0
1987-01-01,1197326.0
1988-01-01,1239657.0
1989-01-01,1303479.0
1990-01-01,1405634.0
1991-01-01,1351194.0
1992-01-01,1297602.0
1993-01-01,1234121.0
1994-01-01,1249914.0
1995-01-01,1199326.0
1996-01-01,1235419.0
1997-01-01,1192672.0
1998-01-01,1091583.0
1999-01-01,1049619.0
2000-01-01,1006022.0
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,
2010-01-01,
2011-01-01,
2012-01-01,0.0
2013-01-01,0.0
2014-01-01,0.0
2015-01-01,0.0
2016-01-01,0.0
2017-01-01,0.0
2018-01-01,0.0
2019-01-01,0.0
2020-01-01,0.0
2021-01-01,0.0
2022-01-01,0.0
2023-01-01,0.0
2024-01-01,0.0
