Date,Value
1977-01-01,3515143
1978-01-01,3972095
1979-01-01,4452146
1980-01-01,4516781
1981-01-01,4613422
1982-01-01,4372744
1983-01-01,3720437
1984-01-01,4183582
1985-01-01,3614786
1986-01-01,3585537
1987-01-01,4134700
1988-01-01,4249592
1989-01-01,4286261
1990-01-01,4562144
1991-01-01,4314407
1992-01-01,4258686
1993-01-01,4215015
1994-01-01,4373962
1995-01-01,4288219
1996-01-01,4558997
1997-01-01,4586352
1998-01-01,4381022
1999-01-01,4225452
2000-01-01,4092681
2001-01-01,4146993
2002-01-01,3722249
2003-01-01,3565614
2004-01-01,3214488
2005-01-01,2474076
2006-01-01,2272669
2007-01-01,2204379
2008-01-01,1849891
2009-01-01,1878928
2010-01-01,1701665
2011-01-01,1355489
2012-01-01,1028474
2013-01-01,831636
2014-01-01,713722
2015-01-01,673930
2016-01-01,573924
2017-01-01,455475
2018-01-01,373185
2019-01-01,337516
2020-01-01,237513
2021-01-01,210517
2022-01-01,205862
2023-01-01,148895
2024-01-01,116296
