Date,Value
1992-01-01,386382
1993-01-01,346733
1994-01-01,334987
1995-01-01,322544
1996-01-01,326919
1997-01-01,317137
1998-01-01,315701
1999-01-01,347667
2000-01-01,334983
2001-01-01,336629
2002-01-01,322138
2003-01-01,303480
2004-01-01,287205
2005-01-01,291271
2006-01-01,301921
2007-01-01,286584
2008-01-01,281088
2009-01-01,258983
2010-01-01,273136
2011-01-01,237388
2012-01-01,214509
2013-01-01,219386
2014-01-01,218668
2015-01-01,216772
2016-01-01,196041
2017-01-01,203979
2018-01-01,197790
2019-01-01,189827
2020-01-01,151348
2021-01-01,130619
2022-01-01,129654
2023-01-01,127287
2024-01-01,119306
