Date,Value
1992-01-01,5653.0
1993-01-01,5922.0
1994-01-01,8068.0
1995-01-01,9966.0
1996-01-01,10244.0
1997-01-01,11149.0
1998-01-01,11952.0
1999-01-01,9895.0
2000-01-01,9290.0
2001-01-01,9475.0
2002-01-01,8201.0
2003-01-01,10459.0
2004-01-01,9130.0
2005-01-01,9180.0
2006-01-01,8300.0
2007-01-01,8289.0
2008-01-01,7628.0
2009-01-01,7419.0
2010-01-01,6218.0
2011-01-01,5142.0
2012-01-01,
2013-01-01,
2014-01-01,
2015-01-01,
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
2022-01-01,
2023-01-01,
2024-01-01,
