Date,Value
1992-01-01,9481
1993-01-01,11262
1994-01-01,8733
1995-01-01,7105
1996-01-01,5942
1997-01-01,6401
1998-01-01,6282
1999-01-01,5418
2000-01-01,5906
2001-01-01,5788
2002-01-01,5870
2003-01-01,4797
2004-01-01,4765
2005-01-01,5116
2006-01-01,5860
2007-01-01,5125
2008-01-01,7812
2009-01-01,5271
2010-01-01,8034
2011-01-01,9276
2012-01-01,9244
2013-01-01,5670
2014-01-01,5779
2015-01-01,4755
2016-01-01,7557
2017-01-01,6739
2018-01-01,7229
2019-01-01,6422
2020-01-01,5059
2021-01-01,5289
2022-01-01,6325
2023-01-01,6216
2024-01-01,5562
