Date,Value
1992-01-01,78263
1993-01-01,79234
1994-01-01,84573
1995-01-01,63181
1996-01-01,63340
1997-01-01,64528
1998-01-01,60298
1999-01-01,48918
2000-01-01,41195
2001-01-01,53649
2002-01-01,57063
2003-01-01,53569
2004-01-01,44946
2005-01-01,36932
2006-01-01,24785
2007-01-01,29229
2008-01-01,46786
2009-01-01,37811
2010-01-01,28574
2011-01-01,23791
2012-01-01,16506
2013-01-01,14036
2014-01-01,11200
2015-01-01,9302
2016-01-01,7542
2017-01-01,4978
2018-01-01,3471
2019-01-01,2958
2020-01-01,2334
2021-01-01,1299
2022-01-01,1867
2023-01-01,1038
2024-01-01,988
