Date,Value
1967-01-01,0.13
1968-01-01,0.13
1969-01-01,0.14
1970-01-01,0.14
1971-01-01,0.15
1972-01-01,0.19
1973-01-01,0.24
1974-01-01,0.31
1975-01-01,0.4
1976-01-01,0.56
1977-01-01,0.81
1978-01-01,0.99
1979-01-01,1.37
1980-01-01,1.76
1981-01-01,2.13
1982-01-01,2.47
1983-01-01,2.68
1984-01-01,2.71
1985-01-01,2.62
1986-01-01,1.87
1987-01-01,1.66
1988-01-01,1.7
1989-01-01,1.56
1990-01-01,1.69
1991-01-01,1.37
1992-01-01,1.6
1993-01-01,1.79
1994-01-01,1.58
1995-01-01,1.26
1996-01-01,1.67
1997-01-01,1.76
1998-01-01,1.76
1999-01-01,2.11
2000-01-01,3.43
2001-01-01,3.89
2002-01-01,2.68
2003-01-01,4.56
2004-01-01,4.97
2005-01-01,6.91
2006-01-01,6.18
2007-01-01,6.88
2008-01-01,8.4
2009-01-01,4.17
2010-01-01,5.32
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
2022-01-01,
2023-01-01,
