Date,Value
1979-01-01,2.11
1981-01-01,2.75
1982-01-01,3.08
1983-01-01,3.37
1984-01-01,3.67
1985-01-01,2.51
1986-01-01,2.46
1987-01-01,2.71
1988-01-01,1.95
1989-01-01,1.11
1990-01-01,1.56
1991-01-01,1.12
1992-01-01,1.79
1993-01-01,2.13
1994-01-01,1.73
1995-01-01,1.59
1997-01-01,2.09
1998-01-01,2.47
1999-01-01,2.13
2000-01-01,3.56
2001-01-01,3.42
2002-01-01,2.95
2003-01-01,4.98
2004-01-01,5.49
2005-01-01,7.44
2006-01-01,6.4
2007-01-01,7.22
2008-01-01,7.94
2009-01-01,
2010-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
2022-01-01,
2023-01-01,
