Date,Value
1967-01-01,0.15
1968-01-01,0.15
1969-01-01,0.15
1970-01-01,0.15
1971-01-01,0.15
1972-01-01,0.16
1973-01-01,0.18
1974-01-01,0.25
1975-01-01,0.34
1976-01-01,0.41
1977-01-01,0.64
1978-01-01,0.79
1979-01-01,1.13
1980-01-01,1.92
1981-01-01,2.77
1982-01-01,3.22
1983-01-01,3.18
1984-01-01,3.32
1985-01-01,3.01
1986-01-01,2.52
1987-01-01,1.76
1988-01-01,1.53
1989-01-01,1.24
1990-01-01,1.16
1991-01-01,1.06
1992-01-01,1.13
1993-01-01,1.99
1994-01-01,2.05
1995-01-01,1.78
1996-01-01,2.57
1997-01-01,2.42
1998-01-01,1.78
1999-01-01,1.97
2000-01-01,3.34
2001-01-01,3.49
2002-01-01,2.7
2003-01-01,4.13
2004-01-01,4.96
2005-01-01,6.86
2006-01-01,5.85
2007-01-01,4.65
2008-01-01,6.86
2009-01-01,3.4
2010-01-01,4.3
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
2022-01-01,
2023-01-01,
