Date,Value
1983-01-01,135
1984-01-01,394
1985-01-01,367
1986-01-01,365
1987-01-01,217
1988-01-01,412
1989-01-01,416
1990-01-01,399
1991-01-01,232
1992-01-01,174
1993-01-01,192
1994-01-01,107
1995-01-01,249
1996-01-01,360
1997-01-01,526
1998-01-01,615
1999-01-01,855
2000-01-01,899
2001-01-01,1064
2002-01-01,1309
2003-01-01,1464
2004-01-01,3401
2005-01-01,3135
2006-01-01,2921
2007-01-01,3606
2008-01-01,4701
2009-01-01,4927
2010-01-01,6802
2017-01-01,0
2018-01-01,0
2019-01-01,0
2020-01-01,0
2021-01-01,0
2022-01-01,0
2023-01-01,0
