Date,Value
1997-01-01,2110
1997-02-01,1911
1997-03-01,2068
1997-04-01,1877
1997-05-01,1719
1997-06-01,1763
1997-07-01,1760
1997-08-01,1759
1997-09-01,1797
1997-10-01,1945
1997-11-01,1922
1997-12-01,2087
1998-01-01,2038
1998-02-01,1844
1998-03-01,1996
1998-04-01,1811
1998-05-01,1657
1998-06-01,1701
1998-07-01,1699
1998-08-01,1697
1998-09-01,1733
1998-10-01,1877
1998-11-01,1855
1998-12-01,2015
1999-01-01,2112
1999-02-01,1912
1999-03-01,2069
1999-04-01,1878
1999-05-01,1721
1999-06-01,1765
1999-07-01,1763
1999-08-01,1761
1999-09-01,1799
1999-10-01,1946
1999-11-01,1923
1999-12-01,2088
2000-01-01,2124
2000-02-01,1932
2000-03-01,2137
2000-04-01,1875
2000-05-01,1686
2000-06-01,1805
2000-07-01,1788
2000-08-01,1806
2000-09-01,1868
2000-10-01,1979
2000-11-01,1956
2000-12-01,2124
2001-01-01,2110
2001-02-01,1904
2001-03-01,2124
2001-04-01,1967
2001-05-01,1783
2001-06-01,1722
2001-07-01,1847
2001-08-01,1891
2001-09-01,1838
2001-10-01,1997
2001-11-01,2185
2001-12-01,2303
2002-01-01,1951
2002-02-01,1799
2002-03-01,1939
2002-04-01,1851
2002-05-01,1659
2002-06-01,1714
2002-07-01,1675
2002-08-01,1725
2002-09-01,1605
2002-10-01,1814
2002-11-01,1793
2002-12-01,1933
2003-01-01,1962
2003-02-01,1790
2003-03-01,2016
2003-04-01,1714
2003-05-01,1512
2003-06-01,1691
2003-07-01,1664
2003-08-01,1693
2003-09-01,1769
2003-10-01,1853
2003-11-01,1827
2003-12-01,1983
2004-01-01,2039
2004-02-01,1852
2004-03-01,2082
2004-04-01,1778
2004-05-01,1573
2004-06-01,1748
2004-07-01,1725
2004-08-01,1745
2004-09-01,1821
2004-10-01,1912
2004-11-01,1885
2004-12-01,2053
2005-01-01,2055
2005-02-01,1908
2005-03-01,2039
2005-04-01,1920
2005-05-01,1772
2005-06-01,1834
2005-07-01,1822
2005-08-01,1845
2005-09-01,1832
2005-10-01,1962
2005-11-01,1980
2005-12-01,2019
2006-01-01,2045
2006-02-01,1842
2006-03-01,2071
2006-04-01,1994
2006-05-01,2072
2006-06-01,2049
2006-07-01,2095
2006-08-01,2102
2006-09-01,2053
2006-10-01,2127
2006-11-01,2050
2006-12-01,2139
2007-01-01,2154
2007-02-01,1973
2007-03-01,2220
2007-04-01,2121
2007-05-01,2246
2007-06-01,2173
2007-07-01,2221
2007-08-01,2233
2007-09-01,2184
2007-10-01,2260
2007-11-01,2233
2007-12-01,2315
2008-01-01,2035
2008-02-01,1921
2008-03-01,2080
2008-04-01,2006
2008-05-01,2073
2008-06-01,2030
2008-07-01,2136
2008-08-01,2105
2008-09-01,1797
2008-10-01,2022
2008-11-01,2026
2008-12-01,2106
2009-01-01,1981
2009-02-01,1805
2009-03-01,1986
2009-04-01,1888
2009-05-01,1952
2009-06-01,1898
2009-07-01,1936
2009-08-01,1951
2009-09-01,1836
2009-10-01,1922
2009-11-01,1861
2009-12-01,1909
2010-01-01,1698
2010-02-01,1567
2010-03-01,1736
2010-04-01,1688
2010-05-01,1756
2010-06-01,1678
2010-07-01,1765
2010-08-01,1785
2010-09-01,1732
2010-10-01,1821
2010-11-01,1762
2010-12-01,1847
2011-01-01,1751
2011-02-01,1550
2011-03-01,1796
2011-04-01,1758
2011-05-01,1821
2011-06-01,1753
2011-07-01,1823
2011-08-01,1844
2011-09-01,1782
2011-10-01,1900
2011-11-01,1862
2011-12-01,1914
2012-01-01,1828
2012-02-01,1677
2012-03-01,1799
2012-04-01,1736
2012-05-01,1801
2012-06-01,1732
2012-07-01,1836
2012-08-01,1827
2012-09-01,1778
2012-10-01,1842
2012-11-01,1785
2012-12-01,1828
2013-01-01,1728
2013-02-01,1566
2013-03-01,1729
2013-04-01,1694
2013-05-01,1745
2013-06-01,1686
2013-07-01,1777
2013-08-01,1773
2013-09-01,1711
2013-10-01,1774
2013-11-01,1734
2013-12-01,1762
2014-01-01,1474
2014-02-01,1363
2014-03-01,1520
2014-04-01,1507
2014-05-01,1549
2014-06-01,1506
2014-07-01,1590
2014-08-01,1598
2014-09-01,1546
2014-10-01,1614
2014-11-01,1552
2014-12-01,1616
2015-01-01,1469
2015-02-01,1334
2015-03-01,1483
2015-04-01,1456
2015-05-01,1483
2015-06-01,1432
2015-07-01,1484
2015-08-01,1486
2015-09-01,1447
2015-10-01,1484
2015-11-01,1431
2015-12-01,1478
2016-01-01,1502
2016-02-01,1425
2016-03-01,1506
2016-04-01,1457
2016-05-01,1488
2016-06-01,1426
2016-07-01,1486
2016-08-01,1474
2016-09-01,1417
2016-10-01,1458
2016-11-01,1423
2016-12-01,1454
2017-01-01,1546
2017-02-01,1416
2017-03-01,1603
2017-04-01,1554
2017-05-01,1605
2017-06-01,1569
2017-07-01,1638
2017-08-01,1637
2017-09-01,1612
2017-10-01,1695
2017-11-01,1691
2017-12-01,1737
2018-01-01,1572
2018-02-01,1450
2018-03-01,1624
2018-04-01,1569
2018-05-01,1640
2018-06-01,1595
2018-07-01,1681
2018-08-01,1715
2018-09-01,1687
2018-10-01,1765
2018-11-01,1738
2018-12-01,1787
2019-01-01,1621
2019-02-01,1474
2019-03-01,1639
2019-04-01,1594
2019-05-01,1660
2019-06-01,1611
2019-07-01,1674
2019-08-01,1714
2019-09-01,1665
2019-10-01,1736
2019-11-01,1707
2019-12-01,1762
2020-01-01,1831
2020-02-01,1711
2020-03-01,1833
2020-04-01,1727
2020-05-01,1678
2020-06-01,1647
2020-07-01,1732
2020-08-01,1727
2020-09-01,1673
2020-10-01,1715
2020-11-01,1711
2020-12-01,1771
2021-01-01,1750
2021-02-01,1464
2021-03-01,1767
2021-04-01,1724
2021-05-01,1780
2021-06-01,1716
2021-07-01,1790
2021-08-01,1796
2021-09-01,1749
2021-10-01,1836
2021-11-01,1797
2021-12-01,1873
2022-01-01,1801
2022-02-01,1642
2022-03-01,1848
2022-04-01,1806
2022-05-01,1868
2022-06-01,1813
2022-07-01,1888
2022-08-01,1901
2022-09-01,1868
2022-10-01,1927
2022-11-01,1867
2022-12-01,1901
2023-01-01,1752
2023-02-01,1576
2023-03-01,1770
2023-04-01,1699
2023-05-01,1770
2023-06-01,1693
2023-07-01,1762
2023-08-01,1773
2023-09-01,1719
2023-10-01,1779
2023-11-01,1748
2023-12-01,1808
2024-01-01,1760
2024-02-01,1692
2024-03-01,1769
2024-04-01,1696
2024-05-01,1755
2024-06-01,1719
2024-07-01,1799
2024-08-01,1782
2024-09-01,1713
2024-10-01,1794
2024-11-01,1737
2024-12-01,1827
