Date,Value
1997-04-01,21158
1997-05-01,21556
1997-06-01,20550
1997-07-01,21157
1997-08-01,21124
1997-09-01,20354
1997-10-01,20907
1997-11-01,20279
1997-12-01,20214
1998-01-01,20998
1998-02-01,19201
1998-03-01,21034
1998-04-01,20550
1998-05-01,20969
1998-06-01,20280
1998-07-01,20852
1998-08-01,21139
1998-09-01,20116
1998-10-01,20676
1998-11-01,19925
1998-12-01,19846
1999-01-01,21397
1999-02-01,19419
1999-03-01,21083
1999-04-01,20451
1999-05-01,20905
1999-06-01,20262
1999-07-01,20854
1999-08-01,20729
1999-09-01,20262
1999-10-01,21123
1999-11-01,20619
1999-12-01,21121
2000-01-01,22178
2000-02-01,20572
2000-03-01,22370
2000-04-01,21627
2000-05-01,22488
2000-06-01,22046
2000-07-01,22488
2000-08-01,22623
2000-09-01,21798
2000-10-01,22550
2000-11-01,22067
2000-12-01,22778
2001-01-01,22302
2001-02-01,20005
2001-03-01,22121
2001-04-01,21606
2001-05-01,22251
2001-06-01,20962
2001-07-01,22251
2001-08-01,22276
2001-09-01,21561
2001-10-01,22625
2001-11-01,21711
2001-12-01,22338
2002-01-01,22496
2002-02-01,19986
2002-03-01,22503
2002-04-01,21811
2002-05-01,22764
2002-06-01,22232
2002-07-01,22811
2002-08-01,22798
2002-09-01,21516
2002-10-01,22896
2002-11-01,22265
2002-12-01,22714
2003-01-01,18788
2003-02-01,17171
2003-03-01,19537
2003-04-01,18695
2003-05-01,19561
2003-06-01,19043
2003-07-01,19665
2003-08-01,19814
2003-09-01,19127
2003-10-01,19728
2003-11-01,19000
2003-12-01,19786
2004-01-01,20055
2004-02-01,18739
2004-03-01,20092
2004-04-01,19562
2004-05-01,20305
2004-06-01,19809
2004-07-01,20283
2004-08-01,20123
2004-09-01,19530
2004-10-01,20325
2004-11-01,19589
2004-12-01,20123
2005-01-01,20051
2005-02-01,18397
2005-03-01,20613
2005-04-01,20158
2005-05-01,20739
2005-06-01,20186
2005-07-01,20711
2005-08-01,21644
2005-09-01,19698
2005-10-01,21473
2005-11-01,21075
2005-12-01,21634
2006-01-01,30988
2006-02-01,27910
2006-03-01,31380
2006-04-01,30210
2006-05-01,31395
2006-06-01,31047
2006-07-01,31744
2006-08-01,31854
2006-09-01,31112
2006-10-01,32226
2006-11-01,31071
2006-12-01,32413
2007-01-01,31693
2007-02-01,29027
2007-03-01,32664
2007-04-01,31198
2007-05-01,33037
2007-06-01,31961
2007-07-01,32667
2007-08-01,32850
2007-09-01,32120
2007-10-01,33245
2007-11-01,32841
2007-12-01,34047
2008-01-01,33575
2008-02-01,31685
2008-03-01,34309
2008-04-01,33095
2008-05-01,34192
2008-06-01,33490
2008-07-01,35235
2008-08-01,34734
2008-09-01,29649
2008-10-01,33362
2008-11-01,33432
2008-12-01,34745
2009-01-01,36639
2009-02-01,33396
2009-03-01,36729
2009-04-01,34930
2009-05-01,36107
2009-06-01,35102
2009-07-01,35803
2009-08-01,36087
2009-09-01,33965
2009-10-01,35551
2009-11-01,34426
2009-12-01,35307
2010-01-01,35341
2010-02-01,32604
2010-03-01,36123
2010-04-01,35131
2010-05-01,36548
2010-06-01,34921
2010-07-01,36734
2010-08-01,37159
2010-09-01,36055
2010-10-01,37897
2010-11-01,36668
2010-12-01,38441
2011-01-01,39102
2011-02-01,34620
2011-03-01,40096
2011-04-01,39264
2011-05-01,40663
2011-06-01,39136
2011-07-01,40705
2011-08-01,41182
2011-09-01,39791
2011-10-01,42426
2011-11-01,41573
2011-12-01,42750
2012-01-01,49333
2012-02-01,45248
2012-03-01,48554
2012-04-01,46854
2012-05-01,48615
2012-06-01,46748
2012-07-01,49555
2012-08-01,49311
2012-09-01,47994
2012-10-01,49701
2012-11-01,48167
2012-12-01,49331
2013-01-01,57658
2013-02-01,52230
2013-03-01,57671
2013-04-01,56531
2013-05-01,58216
2013-06-01,56255
2013-07-01,59278
2013-08-01,59150
2013-09-01,57093
2013-10-01,59175
2013-11-01,57853
2013-12-01,58778
2014-01-01,64513
2014-02-01,59650
2014-03-01,66519
2014-04-01,65948
2014-05-01,67778
2014-06-01,65930
2014-07-01,69577
2014-08-01,69955
2014-09-01,67675
2014-10-01,70624
2014-11-01,67909
2014-12-01,70716
2015-01-01,68149
2015-02-01,61860
2015-03-01,68790
2015-04-01,67532
2015-05-01,68778
2015-06-01,66405
2015-07-01,68836
2015-08-01,68914
2015-09-01,67112
2015-10-01,68844
2015-11-01,66343
2015-12-01,68559
2016-01-01,70233
2016-02-01,66633
2016-03-01,70423
2016-04-01,68104
2016-05-01,69573
2016-06-01,66683
2016-07-01,69470
2016-08-01,68919
2016-09-01,66254
2016-10-01,68194
2016-11-01,66545
2016-12-01,67989
2017-01-01,67339
2017-02-01,61673
2017-03-01,69825
2017-04-01,67655
2017-05-01,69909
2017-06-01,68310
2017-07-01,71315
2017-08-01,71275
2017-09-01,70182
2017-10-01,73810
2017-11-01,73652
2017-12-01,75656
2018-01-01,80254
2018-02-01,74002
2018-03-01,82887
2018-04-01,80077
2018-05-01,83698
2018-06-01,81408
2018-07-01,85797
2018-08-01,87527
2018-09-01,86093
2018-10-01,90091
2018-11-01,88707
2018-12-01,91215
2019-01-01,98600
2019-02-01,89665
2019-03-01,99726
2019-04-01,96976
2019-05-01,100973
2019-06-01,97986
2019-07-01,101810
2019-08-01,104286
2019-09-01,101308
2019-10-01,105604
2019-11-01,103873
2019-12-01,107215
2020-01-01,117956
2020-02-01,110218
2020-03-01,118032
2020-04-01,111223
2020-05-01,108091
2020-06-01,106096
2020-07-01,111573
2020-08-01,111213
2020-09-01,107742
2020-10-01,110484
2020-11-01,110214
2020-12-01,114061
2021-01-01,114164
2021-02-01,95477
2021-03-01,115285
2021-04-01,112440
2021-05-01,116095
2021-06-01,111947
2021-07-01,116772
2021-08-01,117118
2021-09-01,114109
2021-10-01,119785
2021-11-01,117229
2021-12-01,122158
2022-01-01,129069
2022-02-01,117694
2022-03-01,132442
2022-04-01,129431
2022-05-01,133838
2022-06-01,129907
2022-07-01,135308
2022-08-01,136186
2022-09-01,133836
2022-10-01,138052
2022-11-01,133766
2022-12-01,136240
2023-01-01,149251
2023-02-01,134275
2023-03-01,150793
2023-04-01,144719
2023-05-01,150789
2023-06-01,144227
2023-07-01,150171
2023-08-01,151084
2023-09-01,146507
2023-10-01,151547
2023-11-01,148898
2023-12-01,154071
2024-01-01,164364
2024-02-01,157996
2024-03-01,165244
2024-04-01,158418
2024-05-01,163951
2024-06-01,160569
2024-07-01,168028
2024-08-01,166464
2024-09-01,159965
2024-10-01,167601
2024-11-01,162220
2024-12-01,170689
