Date,Value
2006-01-01,244584
2006-02-01,213829
2006-03-01,239860
2006-04-01,238542
2006-05-01,256010
2006-06-01,247754
2006-07-01,256378
2006-08-01,250819
2006-09-01,238653
2006-10-01,242261
2006-11-01,235960
2006-12-01,237319
2007-01-01,235396
2007-02-01,213877
2007-03-01,238889
2007-04-01,232357
2007-05-01,242298
2007-06-01,228908
2007-07-01,231048
2007-08-01,228054
2007-09-01,221195
2007-10-01,238095
2007-11-01,231929
2007-12-01,256671
2008-01-01,241064
2008-02-01,228507
2008-03-01,239263
2008-04-01,209165
2008-05-01,208428
2008-06-01,219044
2008-07-01,230193
2008-08-01,211888
2008-09-01,61961
2008-10-01,133579
2008-11-01,157377
2008-12-01,173874
2009-01-01,195525
2009-02-01,184696
2009-03-01,207335
2009-04-01,195000
2009-05-01,203298
2009-06-01,210961
2009-07-01,223920
2009-08-01,211532
2009-09-01,200721
2009-10-01,207439
2009-11-01,190220
2009-12-01,198268
2010-01-01,202102
2010-02-01,188046
2010-03-01,209373
2010-04-01,193806
2010-05-01,192728
2010-06-01,177531
2010-07-01,178573
2010-08-01,190298
2010-09-01,177334
2010-10-01,183545
2010-11-01,171021
2010-12-01,180704
2011-01-01,178597
2011-02-01,152160
2011-03-01,168311
2011-04-01,160766
2011-05-01,162416
2011-06-01,149309
2011-07-01,147208
2011-08-01,149986
2011-09-01,123410
2011-10-01,141464
2011-11-01,137005
2011-12-01,141696
2012-01-01,132092
2012-02-01,121890
2012-03-01,133618
2012-04-01,124714
2012-05-01,121599
2012-06-01,109098
2012-07-01,118923
2012-08-01,101507
2012-09-01,102380
2012-10-01,117889
2012-11-01,116973
2012-12-01,119403
2013-01-01,117090
2013-02-01,103307
2013-03-01,110573
2013-04-01,108525
2013-05-01,107281
2013-06-01,96958
2013-07-01,102059
2013-08-01,96715
2013-09-01,101689
2013-10-01,94741
2013-11-01,100791
2013-12-01,99225
2014-01-01,94282
2014-02-01,88079
2014-03-01,97118
2014-04-01,98349
2014-05-01,103150
2014-06-01,99531
2014-07-01,101709
2014-08-01,102444
2014-09-01,98482
2014-10-01,102391
2014-11-01,93714
2014-12-01,98781
2015-01-01,99635
2015-02-01,88355
2015-03-01,89300
2015-04-01,100884
2015-05-01,105034
2015-06-01,99253
2015-07-01,110318
2015-08-01,112793
2015-09-01,110047
2015-10-01,104557
2015-11-01,95279
2015-12-01,101925
2016-01-01,98071
2016-02-01,90690
2016-03-01,100478
2016-04-01,91299
2016-05-01,100095
2016-06-01,87301
2016-07-01,92729
2016-08-01,95675
2016-09-01,87772
2016-10-01,94446
2016-11-01,91892
2016-12-01,96164
2017-01-01,94338
2017-02-01,82116
2017-03-01,94412
2017-04-01,83877
2017-05-01,88059
2017-06-01,79753
2017-07-01,86581
2017-08-01,81521
2017-09-01,77232
2017-10-01,68931
2017-11-01,70495
2017-12-01,66965
2018-01-01,67609
2018-02-01,65054
2018-03-01,73411
2018-04-01,65611
2018-05-01,67738
2018-06-01,68850
2018-07-01,80895
2018-08-01,86860
2018-09-01,77871
2018-10-01,75035
2018-11-01,79266
2018-12-01,80797
2019-01-01,83127
2019-02-01,70362
2019-03-01,84920
2019-04-01,80300
2019-05-01,80553
2019-06-01,74627
2019-07-01,59589
2019-08-01,83816
2019-09-01,76885
2019-10-01,79122
2019-11-01,76269
2019-12-01,79811
2020-01-01,79496
2020-02-01,74928
2020-03-01,81363
2020-04-01,74372
2020-05-01,58651
2020-06-01,56616
2020-07-01,61787
2020-08-01,37964
2020-09-01,43042
2020-10-01,32666
2020-11-01,54635
2020-12-01,61277
2021-01-01,65342
2021-02-01,58638
2021-03-01,67675
2021-04-01,63398
2021-05-01,65480
2021-06-01,61087
2021-07-01,65136
2021-08-01,54779
2021-09-01,28094
2021-10-01,53256
2021-11-01,58931
2021-12-01,61120
2022-01-01,58221
2022-02-01,51181
2022-03-01,58187
2022-04-01,59430
2022-05-01,55725
2022-06-01,58110
2022-07-01,59972
2022-08-01,61737
2022-09-01,58383
2022-10-01,59771
2022-11-01,58105
2022-12-01,58025
2023-01-01,62804
2023-02-01,54866
2023-03-01,58928
2023-04-01,53480
2023-05-01,50947
2023-06-01,51393
2023-07-01,54329
2023-08-01,54659
2023-09-01,55588
2023-10-01,53748
2023-11-01,51473
2023-12-01,54073
2024-01-01,53153
2024-02-01,48975
2024-03-01,48262
2024-04-01,50821
2024-05-01,47540
2024-06-01,49107
2024-07-01,52298
2024-08-01,52842
2024-09-01,41490
2024-10-01,52104
2024-11-01,43963
2024-12-01,52306
