Date,Value
1982-01-01,-10579
1983-01-01,-11813
1984-01-01,-10157
1985-01-01,-10112
1986-01-01,-7372
1987-01-01,-5291
1988-01-01,1277
1989-01-01,1396
1990-01-01,596
1991-01-01,366
1992-01-01,247
1993-01-01,254
1994-01-01,253
1995-01-01,258
1996-01-01,234
1997-01-01,31
1998-01-01,139
1999-01-01,140
2000-01-01,147
2001-01-01,150
2002-01-01,133
2003-01-01,126
2004-01-01,121
2005-01-01,120
2006-01-01,123
2007-01-01,1346
2008-01-01,1151
2009-01-01,1412
2010-01-01,1357
2011-01-01,1078
2012-01-01,2125
2013-01-01,2887
2014-01-01,1882
2015-01-01,2038
2016-01-01,2141
2017-01-01,2089
2018-01-01,2425
2019-01-01,2112
2020-01-01,1812
2021-01-01,1609
2022-01-01,1974
2023-01-01,2554
2024-01-01,3164
