Date,Value
2006-01-01,215
2006-02-01,192
2006-03-01,208
2006-04-01,199
2006-05-01,201
2006-06-01,193
2006-07-01,232
2006-08-01,233
2006-09-01,230
2006-10-01,249
2006-11-01,250
2006-12-01,261
2007-01-01,319
2007-02-01,284
2007-03-01,308
2007-04-01,295
2007-05-01,298
2007-06-01,286
2007-07-01,344
2007-08-01,345
2007-09-01,340
2007-10-01,368
2007-11-01,370
2007-12-01,387
2008-01-01,380
2008-02-01,339
2008-03-01,367
2008-04-01,351
2008-05-01,355
2008-06-01,341
2008-07-01,410
2008-08-01,412
2008-09-01,406
2008-10-01,439
2008-11-01,441
2008-12-01,461
2009-01-01,443
2009-02-01,395
2009-03-01,427
2009-04-01,409
2009-05-01,414
2009-06-01,397
2009-07-01,478
2009-08-01,480
2009-09-01,473
2009-10-01,511
2009-11-01,514
2009-12-01,537
2010-01-01,374
2010-02-01,333
2010-03-01,359
2010-04-01,344
2010-05-01,346
2010-06-01,332
2010-07-01,405
2010-08-01,407
2010-09-01,402
2010-10-01,436
2010-11-01,440
2010-12-01,460
2011-01-01,354
2011-02-01,317
2011-03-01,340
2011-04-01,324
2011-05-01,327
2011-06-01,314
2011-07-01,384
2011-08-01,385
2011-09-01,387
2011-10-01,378
2011-11-01,413
2011-12-01,414
2012-01-01,451
2012-02-01,422
2012-03-01,451
2012-04-01,437
2012-05-01,451
2012-06-01,437
2012-07-01,451
2012-08-01,451
2012-09-01,436
2012-10-01,450
2012-11-01,436
2012-12-01,451
2013-01-01,417
2013-02-01,391
2013-03-01,417
2013-04-01,403
2013-05-01,416
2013-06-01,403
2013-07-01,415
2013-08-01,416
2013-09-01,402
2013-10-01,416
2013-11-01,402
2013-12-01,416
2014-01-01,419
2014-02-01,378
2014-03-01,418
2014-04-01,404
2014-05-01,418
2014-06-01,404
2014-07-01,417
2014-08-01,416
2014-09-01,403
2014-10-01,416
2014-11-01,403
2014-12-01,416
2015-01-01,335
2015-02-01,302
2015-03-01,334
2015-04-01,323
2015-05-01,334
2015-06-01,324
2015-07-01,334
2015-08-01,334
2015-09-01,323
2015-10-01,334
2015-11-01,324
2015-12-01,334
2016-01-01,280
2016-02-01,261
2016-03-01,280
2016-04-01,271
2016-05-01,280
2016-06-01,271
2016-07-01,280
2016-08-01,280
2016-09-01,271
2016-10-01,280
2016-11-01,271
2016-12-01,280
2017-01-01,231
2017-02-01,208
2017-03-01,230
2017-04-01,223
2017-05-01,230
2017-06-01,223
2017-07-01,230
2017-08-01,230
2017-09-01,222
2017-10-01,229
2017-11-01,221
2017-12-01,228
2018-01-01,318
2018-02-01,255
2018-03-01,254
2018-04-01,234
2018-05-01,272
2018-06-01,256
2018-07-01,250
2018-08-01,247
2018-09-01,233
2018-10-01,240
2018-11-01,215
2018-12-01,281
2019-01-01,263
2019-02-01,237
2019-03-01,263
2019-04-01,254
2019-05-01,263
2019-06-01,254
2019-07-01,263
2019-08-01,263
2019-09-01,254
2019-10-01,263
2019-11-01,254
2019-12-01,263
2020-01-01,304
2020-02-01,285
2020-03-01,304
2020-04-01,295
2020-05-01,305
2020-06-01,295
2020-07-01,305
2020-08-01,305
2020-09-01,295
2020-10-01,305
2020-11-01,295
2020-12-01,305
2021-01-01,255
2021-02-01,230
2021-03-01,255
2021-04-01,247
2021-05-01,255
2021-06-01,247
2021-07-01,255
2021-08-01,255
2021-09-01,247
2021-10-01,255
2021-11-01,246
2021-12-01,255
2022-01-01,254
2022-02-01,229
2022-03-01,254
2022-04-01,245
2022-05-01,254
2022-06-01,245
2022-07-01,254
2022-08-01,254
2022-09-01,245
2022-10-01,253
2022-11-01,245
2022-12-01,254
2023-01-01,225
2023-02-01,203
2023-03-01,225
2023-04-01,218
2023-05-01,225
2023-06-01,218
2023-07-01,225
2023-08-01,225
2023-09-01,218
2023-10-01,225
2023-11-01,218
2023-12-01,225
2024-01-01,224
2024-02-01,209
2024-03-01,224
2024-04-01,217
2024-05-01,224
2024-06-01,217
2024-07-01,224
2024-08-01,224
2024-09-01,217
2024-10-01,224
2024-11-01,217
2024-12-01,224
