Date,Value
1989-01-01,262483
1990-01-01,269790
1991-01-01,276987
1992-01-01,276014
1993-01-01,282152
1994-01-01,291773
1995-01-01,298541
1996-01-01,301811
1997-01-01,310971
1998-01-01,316929
1999-01-01,302421
2000-01-01,341678
2001-01-01,373304
2002-01-01,387772
2003-01-01,393327
2004-01-01,406147
2005-01-01,425887
2006-01-01,440516
2007-01-01,452945
2008-01-01,476652
2009-01-01,493100
2010-01-01,487627
2011-01-01,574593
2012-01-01,577916
2013-01-01,572742
2014-01-01,586213
2015-01-01,574530
2016-01-01,571659
2017-01-01,539875
2018-01-01,512675
2019-01-01,498072
2020-01-01,483326
