Date,Value
1967-01-01,93452
1968-01-01,88011
1969-01-01,56190
1970-01-01,37816
1971-01-01,31387
1972-01-01,17946
1973-01-01,26135
1974-01-01,19784
1975-01-01,17918
1976-01-01,20370
1977-01-01,18630
1978-01-01,18480
1981-01-01,29003
1982-01-01,31530
1983-01-01,33753
1984-01-01,34572
1985-01-01,258648
1986-01-01,174872
1987-01-01,197781
1988-01-01,213558
1989-01-01,228157
1990-01-01,272278
1991-01-01,224625
1992-01-01,156573
1993-01-01,198074
1994-01-01,218710
1995-01-01,100720
1996-01-01,219477
1997-01-01,185244
1998-01-01,198148
1999-01-01,179524
2000-01-01,207045
2001-01-01,207352
2002-01-01,12635
2003-01-01,13725
2004-01-01,10139
2005-01-01,16756
2006-01-01,13702
2007-01-01,11532
2008-01-01,6531
2009-01-01,2352
2010-01-01,9599
2011-01-01,5611
2012-01-01,6872
2013-01-01,7781
2014-01-01,8058
2015-01-01,7084
2016-01-01,5410
2017-01-01,4096
2018-01-01,3611
2019-01-01,3430
2020-01-01,2860
2021-01-01,2477
2022-01-01,2399
2023-01-01,2056
2024-01-01,1683
