Date,Value
1989-01-01,1778100
1990-01-01,1621799
1991-01-01,1613554
1992-01-01,1605426
1993-01-01,1625007
1994-01-01,2041009
1995-01-01,1711804
1996-01-01,1909654
1997-01-01,2007259
1998-01-01,1752707
1999-01-01,1774877
2000-01-01,1655918
2001-01-01,1732683
2002-01-01,1440784
2003-01-01,1576407
2004-01-01,1444496
2005-01-01,1344484
2006-01-01,1189682
2007-01-01,1515166
2008-01-01,1463338
2009-01-01,1432469
2010-01-01,1379778
2011-01-01,1018696
2012-01-01,1230821
2013-01-01,1053795
2014-01-01,951595
2015-01-01,528313
2016-01-01,302070
2017-01-01,388311
2018-01-01,480605
2019-01-01,528166
2020-01-01,519002
2021-01-01,534184
2022-01-01,816662
2023-01-01,734541
2024-01-01,554528
