Date,Value
1989-01-01,234593
1990-01-01,227723
1991-01-01,239690
1992-01-01,336972
1993-01-01,302126
1994-01-01,324576
1995-01-01,410639
1996-01-01,388927
1997-01-01,396610
1998-01-01,342482
1999-01-01,383598
2000-01-01,427221
2001-01-01,369145
2002-01-01,401453
2003-01-01,390760
2004-01-01,392087
2005-01-01,429895
2006-01-01,454051
2007-01-01,491456
2008-01-01,461815
2009-01-01,487054
2010-01-01,558082
2011-01-01,602876
2012-01-01,612920
2013-01-01,543700
2014-01-01,541355
2015-01-01,564179
2016-01-01,512510
2017-01-01,558581
2018-01-01,620501
2019-01-01,622173
2020-01-01,621454
2021-01-01,628055
2022-01-01,612711
2023-01-01,602900
2024-01-01,638229
