Date,Value
1989-01-01,1869
1990-01-01,1796
1991-01-01,1294
1992-01-01,942
1993-01-01,704
1994-01-01,531
1995-01-01,364
1996-01-01,408
1997-01-01,264
1998-01-01,303
1999-01-01,181
2000-01-01,193
2001-01-01,5075
2002-01-01,3571
2003-01-01,3385
2004-01-01,6337
2005-01-01,5487
2006-01-01,5510
2007-01-01,4931
2008-01-01,3530
2009-01-01,3737
2010-01-01,2543
2011-01-01,2471
2012-01-01,150
2013-01-01,8589
2014-01-01,21873
2015-01-01,73874
2016-01-01,290563
2017-01-01,467964
2018-01-01,648311
2019-01-01,688561
2020-01-01,875951
2021-01-01,1049636
2022-01-01,1038830
2023-01-01,1093590
2024-01-01,1063543
