Date,Value
1989-01-01,248715
1990-01-01,232459
1991-01-01,272029
1992-01-01,334816
1993-01-01,278925
1994-01-01,292161
1995-01-01,541527
1996-01-01,462643
1997-01-01,387349
1998-01-01,350148
1999-01-01,295928
2000-01-01,321352
2001-01-01,335522
2002-01-01,344588
2003-01-01,361569
2004-01-01,313795
2005-01-01,349470
2006-01-01,341301
2007-01-01,406803
2008-01-01,374194
2009-01-01,384895
2010-01-01,427208
2011-01-01,409352
2012-01-01,431454
2013-01-01,457483
2014-01-01,483629
2015-01-01,488977
2016-01-01,441055
2017-01-01,467958
2018-01-01,468191
2019-01-01,462219
2020-01-01,442147
2021-01-01,466291
2022-01-01,472496
2023-01-01,458853
2024-01-01,476920
