Date,Value
1989-01-01,850327
1990-01-01,887497
1991-01-01,885087
1992-01-01,896839
1993-01-01,815566
1994-01-01,856866
1995-01-01,819981
1996-01-01,835664
1997-01-01,874829
1998-01-01,845244
1999-01-01,953660
2000-01-01,940124
2001-01-01,903384
2002-01-01,820240
2003-01-01,817163
2004-01-01,837112
2005-01-01,844624
2006-01-01,806889
2007-01-01,931416
2008-01-01,913699
2009-01-01,974632
2010-01-01,956709
2011-01-01,945284
2012-01-01,681694
2013-01-01,386898
2014-01-01,225932
2015-01-01,67753
2016-01-01,88750
2017-01-01,111028
2018-01-01,308281
2019-01-01,375627
2020-01-01,358390
2021-01-01,375957
2022-01-01,394620
2023-01-01,373989
2024-01-01,403280
