Date,Value
1989-01-01,205428
1990-01-01,151752
1991-01-01,139016
1992-01-01,148079
1993-01-01,174431
1994-01-01,177698
1995-01-01,360092
1996-01-01,435460
1997-01-01,431453
1998-01-01,368236
1999-01-01,440529
2000-01-01,480500
2001-01-01,834191
2002-01-01,742181
2003-01-01,881758
2004-01-01,898623
2005-01-01,828343
2006-01-01,847036
2007-01-01,847042
2008-01-01,914038
2009-01-01,914504
2010-01-01,934008
2011-01-01,975970
2012-01-01,975137
2013-01-01,891221
2014-01-01,909386
2015-01-01,912779
2016-01-01,737972
2017-01-01,726294
2018-01-01,653803
2019-01-01,370002
2020-01-01,327297
2021-01-01,276147
2022-01-01,397856
2023-01-01,410263
2024-01-01,338539
