Date,Value
1989-01-01,200281
1990-01-01,191419
1991-01-01,203239
1992-01-01,195239
1993-01-01,195371
1994-01-01,229561
1995-01-01,258621
1996-01-01,271648
1997-01-01,237858
1998-01-01,192518
1999-01-01,204975
2000-01-01,206715
2001-01-01,223986
2002-01-01,228433
2003-01-01,243418
2004-01-01,264064
2005-01-01,258737
2006-01-01,257528
2007-01-01,284002
2008-01-01,333798
2009-01-01,302336
2010-01-01,267920
2011-01-01,286747
2012-01-01,345067
2013-01-01,364937
2014-01-01,359602
2015-01-01,341589
2016-01-01,334132
2017-01-01,334120
2018-01-01,377747
2019-01-01,401820
2020-01-01,363584
2021-01-01,370690
2022-01-01,374338
2023-01-01,374554
2024-01-01,371435
