Date,Value
1989-01-01,860776
1990-01-01,791900
1991-01-01,661854
1992-01-01,771795
1993-01-01,710466
1994-01-01,877355
1995-01-01,830203
1996-01-01,870787
1997-01-01,853417
1998-01-01,676817
1999-01-01,740834
2000-01-01,787118
2001-01-01,695751
2002-01-01,673382
2003-01-01,762749
2004-01-01,807958
2005-01-01,974913
2006-01-01,832098
2007-01-01,870523
2008-01-01,844631
2009-01-01,797928
2010-01-01,722990
2011-01-01,751958
2012-01-01,781403
2013-01-01,775325
2014-01-01,777042
2015-01-01,752718
2016-01-01,697893
2017-01-01,746522
2018-01-01,920924
2019-01-01,829958
2020-01-01,698589
2021-01-01,536749
2022-01-01,606098
2023-01-01,616647
2024-01-01,642513
