Date,Value
1989-01-01,1189584
1990-01-01,1075654
1991-01-01,1009791
1992-01-01,1140317
1993-01-01,1148385
1994-01-01,1138109
1995-01-01,1469918
1996-01-01,1558506
1997-01-01,1267992
1998-01-01,1005985
1999-01-01,1070886
2000-01-01,1053703
2001-01-01,1076953
2002-01-01,1009263
2003-01-01,1082942
2004-01-01,1013147
2005-01-01,909100
2006-01-01,857868
2007-01-01,1034411
2008-01-01,1087773
2009-01-01,1114787
2010-01-01,945045
2011-01-01,837297
2012-01-01,463049
2013-01-01,73488
2014-01-01,47078
2015-01-01,41443
2016-01-01,44503
2017-01-01,42241
2018-01-01,45754
2019-01-01,42166
2020-01-01,43038
2021-01-01,36129
2022-01-01,37844
2023-01-01,16066
2024-01-01,33224
