Date,Value
1989-01-01,61642
1990-01-01,76872
1991-01-01,121131
1992-01-01,118093
1993-01-01,104614
1994-01-01,134823
1995-01-01,2261
1996-01-01,1123
1997-01-01,0
1998-01-01,207051
1999-01-01,216008
2000-01-01,238900
2001-01-01,242594
2002-01-01,305805
2003-01-01,337339
2004-01-01,355255
2005-01-01,415359
2006-01-01,393655
2007-01-01,451979
2008-01-01,819502
2009-01-01,949812
2010-01-01,1025387
2011-01-01,906226
2012-01-01,838993
2013-01-01,690448
2014-01-01,636396
2015-01-01,651143
2016-01-01,696475
2017-01-01,727049
2018-01-01,799686
2019-01-01,624277
2020-01-01,452594
2021-01-01,355163
2022-01-01,371587
2023-01-01,260547
2024-01-01,408156
