Date,Value
1989-01-01,9433
1990-01-01,11292
1991-01-01,17123
1992-01-01,21858
1993-01-01,20054
1994-01-01,25110
1995-01-01,28679
1996-01-01,33373
1997-01-01,30511
1998-01-01,651
1999-01-01,27325
2000-01-01,16965
2001-01-01,11729
2002-01-01,10911
2003-01-01,11567
2004-01-01,16933
2005-01-01,12453
2006-01-01,31865
2007-01-01,89513
2008-01-01,84465
2009-01-01,13945
2010-01-01,11717
2011-01-01,7852
2012-01-01,7214
2013-01-01,5651
2014-01-01,6483
2015-01-01,8905
2016-01-01,8329
2017-01-01,6324
2018-01-01,7921
2019-01-01,9443
2020-01-01,12217
2021-01-01,27554
2022-01-01,10049
2023-01-01,6908
2024-01-01,14819
