Date,Value
1989-01-01,663475
1990-01-01,731290
1991-01-01,719698
1992-01-01,732000
1993-01-01,667926
1994-01-01,632250
1995-01-01,614886
1996-01-01,639875
1997-01-01,643881
1998-01-01,681056
1999-01-01,775329
2000-01-01,740600
2001-01-01,751839
2002-01-01,638219
2003-01-01,675517
2004-01-01,693283
2005-01-01,699319
2006-01-01,647230
2007-01-01,776214
2008-01-01,774723
2009-01-01,843505
2010-01-01,813463
2011-01-01,785904
2012-01-01,511217
2013-01-01,233949
2014-01-01,92156
2015-01-01,0
2016-01-01,1998
2017-01-01,0
2018-01-01,0
2019-01-01,839
2020-01-01,0
2021-01-01,0
2022-01-01,539
2023-01-01,0
2024-01-01,0
