Date,Value
1989-01-01,390029
1990-01-01,387778
1991-01-01,405163
1992-01-01,450261
1993-01-01,435002
1994-01-01,628931
1995-01-01,741523
1996-01-01,728952
1997-01-01,773152
1998-01-01,740433
1999-01-01,628608
2000-01-01,678458
2001-01-01,680368
2002-01-01,659944
2003-01-01,536776
2004-01-01,592855
2005-01-01,531868
2006-01-01,545670
2007-01-01,580638
2008-01-01,504550
2009-01-01,533197
2010-01-01,546254
2011-01-01,590489
2012-01-01,756096
2013-01-01,713049
2014-01-01,710137
2015-01-01,780662
2016-01-01,774120
2017-01-01,749868
2018-01-01,755167
2019-01-01,735872
2020-01-01,776347
2021-01-01,749394
2022-01-01,766631
2023-01-01,777993
2024-01-01,756365
