Date,Value
1989-01-01,2922632
1990-01-01,2883075
1991-01-01,2742234
1992-01-01,2748086
1993-01-01,2571929
1994-01-01,2672096
1995-01-01,3203828
1996-01-01,3413156
1997-01-01,3172315
1998-01-01,2562270
1999-01-01,2374107
2000-01-01,2338116
2001-01-01,2307609
2002-01-01,2252167
2003-01-01,2604763
2004-01-01,2706846
2005-01-01,3001047
2006-01-01,2874756
2007-01-01,3427708
2008-01-01,3760270
2009-01-01,3813945
2010-01-01,3794890
2011-01-01,3900405
2012-01-01,3905313
2013-01-01,3871931
2014-01-01,3867213
2015-01-01,3366169
2016-01-01,2853481
2017-01-01,2712820
2018-01-01,3057744
2019-01-01,3333957
2020-01-01,2983496
2021-01-01,2646349
2022-01-01,3497119
2023-01-01,3740011
2024-01-01,4142235
