Date,Value
1989-01-01,6193
1990-01-01,7827
1991-01-01,2032
1992-01-01,31777
1993-01-01,20784
1994-01-01,71984
1995-01-01,21785
1996-01-01,16656
1997-01-01,116348
1998-01-01,15225
1999-01-01,38121
2000-01-01,119866
2001-01-01,112124
2002-01-01,88922
2003-01-01,73090
2004-01-01,135797
2005-01-01,215790
2006-01-01,182291
2007-01-01,158242
2008-01-01,208430
2009-01-01,216455
2010-01-01,218960
2011-01-01,267028
2012-01-01,274574
2013-01-01,281139
2014-01-01,259134
2015-01-01,144456
2016-01-01,137904
2017-01-01,146731
2018-01-01,183083
2019-01-01,172830
2020-01-01,172681
2021-01-01,170692
2022-01-01,134403
2023-01-01,141722
2024-01-01,143762
