Date,Value
1989-01-01,301822
1990-01-01,287169
1991-01-01,315104
1992-01-01,343866
1993-01-01,315929
1994-01-01,308118
1995-01-01,331486
1996-01-01,303428
1997-01-01,356306
1998-01-01,348206
1999-01-01,373123
2000-01-01,387080
2001-01-01,341354
2002-01-01,366468
2003-01-01,322902
2004-01-01,276918
2005-01-01,289166
2006-01-01,299731
2007-01-01,335097
2008-01-01,364977
2009-01-01,382094
2010-01-01,418139
2011-01-01,405887
2012-01-01,414886
2013-01-01,380543
2014-01-01,351618
2015-01-01,357893
2016-01-01,381649
2017-01-01,370152
2018-01-01,415173
2019-01-01,476557
2020-01-01,476621
2021-01-01,506441
2022-01-01,517507
2023-01-01,471501
2024-01-01,497203
