Date,Value
1989-01-01,2556
1990-01-01,2548
1991-01-01,2230
1992-01-01,180832
1993-01-01,241471
1994-01-01,245519
1995-01-01,247692
1996-01-01,243866
1997-01-01,229779
1998-01-01,236624
1999-01-01,225138
2000-01-01,184433
2001-01-01,207338
2002-01-01,240564
2003-01-01,402365
2004-01-01,470457
2005-01-01,458768
2006-01-01,492655
2007-01-01,509905
2008-01-01,509925
2009-01-01,491857
2010-01-01,529428
2011-01-01,545983
2012-01-01,598379
2013-01-01,534279
2014-01-01,522756
2015-01-01,530125
2016-01-01,510817
2017-01-01,485334
2018-01-01,495381
2019-01-01,501756
2020-01-01,489453
2021-01-01,492956
2022-01-01,473466
2023-01-01,467268
2024-01-01,410176
