Date,Value
1989-01-01,195074
1990-01-01,208386
1991-01-01,214761
1992-01-01,182676
1993-01-01,135005
1994-01-01,125006
1995-01-01,74513
1996-01-01,182511
1997-01-01,91138
1998-01-01,214119
1999-01-01,214076
2000-01-01,256202
2001-01-01,388397
2002-01-01,375244
2003-01-01,288334
2004-01-01,355543
2005-01-01,519383
2006-01-01,508557
2007-01-01,490384
2008-01-01,448467
2009-01-01,417398
2010-01-01,294495
2011-01-01,14581
2012-01-01,-209287
2013-01-01,-127163
2014-01-01,-208518
2015-01-01,-219369
2016-01-01,-273411
2017-01-01,-373374
2018-01-01,-413650
2019-01-01,-551159
2020-01-01,-494938
2021-01-01,-416864
2022-01-01,-411424
2023-01-01,-515993
2024-01-01,-521220
