Date,Value
1989-01-01,313896
1990-01-01,318738
1991-01-01,323302
1992-01-01,327528
1993-01-01,323784
1994-01-01,349305
1995-01-01,507381
1996-01-01,468988
1997-01-01,488719
1998-01-01,455199
1999-01-01,494657
2000-01-01,520856
2001-01-01,516441
2002-01-01,685261
2003-01-01,682935
2004-01-01,722558
2005-01-01,762976
2006-01-01,875877
2007-01-01,854505
2008-01-01,860513
2009-01-01,981561
2010-01-01,1072703
2011-01-01,1167184
2012-01-01,1246541
2013-01-01,1178951
2014-01-01,1197957
2015-01-01,1323505
2016-01-01,1348774
2017-01-01,1287210
2018-01-01,1302464
2019-01-01,1279789
2020-01-01,1273138
2021-01-01,1190968
2022-01-01,1268398
2023-01-01,1307639
2024-01-01,1356359
