Date,Value
1989-01-01,-619451
1990-01-01,-618984
1991-01-01,-560118
1992-01-01,-668980
1993-01-01,-633721
1994-01-01,-668844
1995-01-01,-1104118
1996-01-01,-1150210
1997-01-01,-1154940
1998-01-01,-954160
1999-01-01,-1114558
2000-01-01,-1164528
2001-01-01,-1476332
2002-01-01,-1342412
2003-01-01,-1597166
2004-01-01,-1589347
2005-01-01,-1677876
2006-01-01,-1584253
2007-01-01,-1767196
2008-01-01,-1784687
2009-01-01,-1910880
2010-01-01,-2324780
2011-01-01,-2256983
2012-01-01,-2096514
2013-01-01,-1983386
2014-01-01,-1813034
2015-01-01,-1494752
2016-01-01,-1153102
2017-01-01,-1188303
2018-01-01,-1113805
2019-01-01,-750759
2020-01-01,-251281
2021-01-01,-66996
2022-01-01,-208681
2023-01-01,-190682
2024-01-01,-288188
